document_id,criterion_id,chosen_branch,chosen_branch_decision,branch_a_final_decision,branch_b_final_decision,cross_branch_reason,branch_a_rule,branch_b_rule
NCT00319748,NCT00319748_exc__item10_C1,B,human_review,human_review,human_review,selected_B_because_human_review_has_best_available_status,A_layer1_hard_issue,B_semantic_high_risk
NCT00319748,NCT00319748_exc__item10_C2,B,human_review,human_review,human_review,selected_B_because_human_review_has_best_available_status,A_layer1_hard_issue,B_semantic_high_risk
NCT00319748,NCT00319748_exc__item10_C3,B,partial,human_review,partial,selected_B_because_partial_has_best_available_status,A_layer1_hard_issue,B_computability_review
NCT00319748,NCT00319748_exc__item11_C1,B,partial,partial,partial,selected_B_because_partial_has_best_available_status,A_hybrid_from_B_partial,B_computability_review
NCT00319748,NCT00319748_exc__item11_C2,B,partial,partial,partial,selected_B_because_partial_has_best_available_status,A_hybrid_from_B_partial,B_computability_review
NCT00319748,NCT00319748_exc__item11_C3,B,partial,partial,partial,selected_B_because_partial_has_best_available_status,A_hybrid_from_B_partial,B_partial_computability
NCT00319748,NCT00319748_exc__item11_C4,B,partial,partial,partial,selected_B_because_partial_has_best_available_status,A_hybrid_from_B_partial,B_partial_computability
NCT00319748,NCT00319748_exc__item12_C1,B,partial,partial,partial,selected_B_because_partial_has_best_available_status,A_hybrid_from_B_partial,B_partial_computability
NCT00319748,NCT00319748_exc__item12_C2,B,human_review,human_review,human_review,selected_B_because_human_review_has_best_available_status,A_hybrid_from_B_human_review,B_semantic_high_risk
NCT00319748,NCT00319748_exc__item13_C1,B,partial,human_review,partial,selected_B_because_partial_has_best_available_status,A_layer1_hard_issue,B_computability_review
NCT00319748,NCT00319748_exc__item13_C2,B,human_review,human_review,human_review,selected_B_because_human_review_has_best_available_status,A_hybrid_from_B_human_review,B_rescue_unresolved
NCT00319748,NCT00319748_exc__item14_C1,B,accept,human_review,accept,selected_B_because_accept_has_best_available_status,A_layer1_hard_issue,B_accept
NCT00319748,NCT00319748_exc__item14_C2,B,partial,human_review,partial,selected_B_because_partial_has_best_available_status,A_layer2_high_risk,B_computability_review
NCT00319748,NCT00319748_exc__item15_C1,B,accept,accept,accept,selected_B_because_accept_has_best_available_status,A_low_risk_accept,B_accept
NCT00319748,NCT00319748_exc__item15_C2,B,accept,accept,accept,selected_B_because_accept_has_best_available_status,A_low_risk_accept,B_accept
NCT00319748,NCT00319748_exc__item16_C1,B,human_review,human_review,human_review,selected_B_because_human_review_has_best_available_status,A_layer1_hard_issue,B_rescue_unresolved
NCT00319748,NCT00319748_exc__item16_C2,B,human_review,human_review,human_review,selected_B_because_human_review_has_best_available_status,A_layer1_hard_issue,B_rescue_unresolved
NCT00319748,NCT00319748_exc__item17_C1,B,accept,accept,accept,selected_B_because_accept_has_best_available_status,A_low_risk_accept,B_accept
