branch,document_id,criterion_id,item_uid,clause_id,final_decision,final_decision_severity,final_decision_reasons,final_decision_rule,entity_type,entity_text,operator,value_type,value,unit,computability,non_computable_reason,evidence_text,branch_a_risk_label,branch_a_leaf_support,branch_a_risk_score,branch_a_risk_reasons,branch_a_layer1_action_hint,branch_a_layer1_bucket,branch_a_layer1_severity,branch_b_semantic_grounding_risk_label,branch_b_execution_risk_label,branch_b_final_routing_decision,branch_b_semantic_grounding_support,branch_b_execution_support,branch_b_routing_reasons,branch_b_layer1_action_hint,branch_b_layer1_bucket,branch_b_layer1_severity,rescue_candidate_id,rescue_final_decision,rescue_apply_action,rescue_apply_status,rescue_changed_fields,rescue_skip_reason,rescue_selected_source,rescue_local_validation_status,hybrid_b_reference_decision,hybrid_b_reference_rule
A,NCT03416413,NCT03416413_inc__item1_C1,NCT03416413_inc__item1,C1,human_review,3,branch_a_layer2_high_risk_after_rescue,A_layer2_high_risk,demographic,adults over 18 years of age,exists,null,null,,computable,,Adults over 18 years of age,review_priority,0.35,0.65,no_bert_anchor|quantitative_cue_not_represented,continue_to_layer2,no_layer1_issue,none,,,,,,,,,,,,,,,,,,accept,B_accept
A,NCT03416413,NCT03416413_inc__item2_C1,NCT03416413_inc__item2,C1,human_review,3,branch_a_layer1_mandatory_rescue_or_review_remains,A_layer1_hard_issue,condition,GSV or SSV vein reflux,>,scalar,0.5,seconds,computable,,Symptomatic GSV or SSV vein reflux > 0.5 seconds on colour Duplex,review_priority,0.45,0.55,layer1_policy_mandatory_rescue_or_review|layer1_inventory_flag,mandatory_rescue_or_review_candidate,hard_or_semantic_layer1_issue,high,,,,,,,,,,,,,,,,,,partial,B_partial_computability
A,NCT03416413,NCT03416413_inc__item2_C2,NCT03416413_inc__item2,C2,human_review,3,branch_a_layer1_mandatory_rescue_or_review_remains,A_layer1_hard_issue,condition,GSV or SSV vein reflux,>,scalar,0.5,seconds,computable,,Symptomatic GSV or SSV vein reflux > 0.5 seconds on colour Duplex,review_priority,0.45,0.55,layer1_policy_mandatory_rescue_or_review|layer1_inventory_flag,mandatory_rescue_or_review_candidate,hard_or_semantic_layer1_issue,high,,,,,,,,,,,,,,,,,,partial,B_partial_computability
A,NCT03416413,NCT03416413_inc__item3_C1,NCT03416413_inc__item3,C1,partial,1,branch_a_replaced_by_validated_branch_b_leaf;using_branch_b_post_rescue_decision:partial,A_hybrid_from_B_partial,condition,varicose vein tributary requiring treatment,exists,null,null,,partial,The phrase 'requiring treatment' implies a clinical judgment/indication that may not be directly represented as structured patient-level data.,Varicose vein tributary requiring treatment,review_priority,0.5,0.5,entity_type_not_supported_by_best_anchor|computability_partial,continue_to_layer2,no_layer1_issue,none,,,,,,,,,,A__NCT03416413_inc__item3_C1__A_main_llm_rescue__entity_regrounding,select_candidate,apply_selected_candidate_leaf,applied,"[""entity_text"", ""entity_type"", ""history_context"", ""computability"", ""non_computable_reason""]",,B_current,pass,partial,B_computability_review
A,NCT03416413,NCT03416413_exc__item1_C1,NCT03416413_exc__item1,C1,partial,1,branch_a_medium_risk_after_rescue,A_layer2_medium_risk,procedure,DVT,exists,null,null,,computable,,Current DVT,intermediate_support,0.6,0.4,no_bert_anchor,continue_to_layer2,no_layer1_issue,none,,,,,,,,,,,,,,,,,,human_review,B_semantic_high_risk
A,NCT03416413,NCT03416413_exc__item2_C1,NCT03416413_exc__item2,C1,accept,0,branch_a_low_risk_no_hard_issue,A_low_risk_accept,condition,varicose veins,exists,null,null,,computable,,Recurrent varicose veins,high_support_not_auto_accept,0.9,0.1,,continue_to_layer2,no_layer1_issue,none,,,,,,,,,,,,,,,,,,accept,B_accept
A,NCT03416413,NCT03416413_exc__item3_C1,NCT03416413_exc__item3,C1,accept,0,branch_a_low_risk_no_hard_issue,A_low_risk_accept,lab,ABPI,<,scalar,0.8,,computable,,Arterial disease (ABPI<0.8),high_support_not_auto_accept,0.9,0.1,,continue_to_layer2,no_layer1_issue,none,,,,,,,,,,,,,,,,,,accept,B_accept
A,NCT03416413,NCT03416413_exc__item4_C1,NCT03416413_exc__item4,C1,accept,0,branch_a_low_risk_no_hard_issue,A_low_risk_accept,lab,Vein diameter,<,scalar,3,mm,computable,,Vein diameter < 3mm,high_support_not_auto_accept,0.9,0.1,,continue_to_layer2,no_layer1_issue,none,,,,,,,,,,,,,,,,,,accept,B_accept
A,NCT03416413,NCT03416413_exc__item5_C1,NCT03416413_exc__item5,C1,non_computable,2,branch_a_non_computable,A_non_computable,other,preference for one of the treatment options,exists,null,null,,non_computable,Subjective or operational criterion.,Preference for one of the treatment options,intermediate_support,0.6,0.4,no_bert_anchor|computability_non_computable,continue_to_layer2,no_layer1_issue,none,,,,,,,,,,,,,,,,,,non_computable,B_non_computable
A,NCT03416413,NCT03416413_exc__item6_C1,NCT03416413_exc__item6,C1,non_computable,2,branch_a_replaced_by_validated_branch_b_leaf;using_branch_b_post_rescue_decision:non_computable,A_hybrid_from_B_non_computable,other,unwilling to participate,exists,null,null,,non_computable,Participation willingness is subjective/consent-related and not reliably represented as patient-level clinical data.,Patient who are unwilling to participate,intermediate_support,0.6,0.4,no_bert_anchor|computability_non_computable,continue_to_layer2,no_layer1_issue,none,,,,,,,,,,A__NCT03416413_exc__item6_C1__A_main_llm_rescue__entity_regrounding,select_candidate,apply_selected_candidate_leaf,applied,"[""entity_text"", ""non_computable_reason""]",,B_current,pass,non_computable,B_non_computable
