branch,row_type,document_id,item_uid,clause_id,criterion_id,path,issues,pass1_clause_text,pass1_item_text,pass1_clause_type,pass1_is_negated,pass1_connector,evidence_in_pass1_clause_text,evidence_in_pass1_item_text,evidence_alignment_note,entity_type,entity_text,operator,value_type,value,temporal_context,evidence_text
A_bert_rules,pass2_leaf_check,NCT03416413,NCT03416413_inc__item1,C1,NCT03416413_inc__item1_C1,inclusion_criteria.children[0],,adults over 18 years of age,Adults over 18 years of age,,False,,True,True,,demographic,adults over 18 years of age,exists,null,null,null,Adults over 18 years of age
A_bert_rules,pass2_leaf_check,NCT03416413,NCT03416413_inc__item2,C1,NCT03416413_inc__item2_C1,inclusion_criteria.children[1].children[0],,symptomatic GSV vein reflux > 0.5 seconds on colour Duplex,Symptomatic GSV or SSV vein reflux > 0.5 seconds on colour Duplex,,False,,False,True,evidence_in_item_text_only,condition,GSV or SSV vein reflux,>,scalar,0.5,null,Symptomatic GSV or SSV vein reflux > 0.5 seconds on colour Duplex
A_bert_rules,pass2_leaf_check,NCT03416413,NCT03416413_inc__item2,C2,NCT03416413_inc__item2_C2,inclusion_criteria.children[1].children[1],,symptomatic SSV vein reflux > 0.5 seconds on colour Duplex,Symptomatic GSV or SSV vein reflux > 0.5 seconds on colour Duplex,,False,,False,True,evidence_in_item_text_only,condition,GSV or SSV vein reflux,>,scalar,0.5,null,Symptomatic GSV or SSV vein reflux > 0.5 seconds on colour Duplex
A_bert_rules,pass2_leaf_check,NCT03416413,NCT03416413_inc__item3,C1,NCT03416413_inc__item3_C1,inclusion_criteria.children[2],,varicose vein tributary requiring treatment,Varicose vein tributary requiring treatment,,False,,True,True,,procedure,treatment,exists,null,null,null,Varicose vein tributary requiring treatment
A_bert_rules,pass2_leaf_check,NCT03416413,NCT03416413_exc__item1,C1,NCT03416413_exc__item1_C1,exclusion_criteria.children[0],,current DVT,Current DVT,,False,,True,True,,procedure,DVT,exists,null,null,null,Current DVT
A_bert_rules,pass2_leaf_check,NCT03416413,NCT03416413_exc__item2,C1,NCT03416413_exc__item2_C1,exclusion_criteria.children[1],,recurrent varicose veins,Recurrent varicose veins,,False,,True,True,,condition,varicose veins,exists,null,null,null,Recurrent varicose veins
A_bert_rules,pass2_leaf_check,NCT03416413,NCT03416413_exc__item3,C1,NCT03416413_exc__item3_C1,exclusion_criteria.children[2],,arterial disease (ABPI<0.8),Arterial disease (ABPI<0.8),,False,,True,True,,lab,ABPI,<,scalar,0.8,null,Arterial disease (ABPI<0.8)
A_bert_rules,pass2_leaf_check,NCT03416413,NCT03416413_exc__item4,C1,NCT03416413_exc__item4_C1,exclusion_criteria.children[3],,Vein diameter < 3mm,Vein diameter < 3mm,,False,,True,True,,lab,Vein diameter,<,scalar,3,null,Vein diameter < 3mm
A_bert_rules,pass2_leaf_check,NCT03416413,NCT03416413_exc__item5,C1,NCT03416413_exc__item5_C1,exclusion_criteria.children[4],,preference for one of the treatment options,Preference for one of the treatment options,,False,,True,True,,other,preference for one of the treatment options,exists,null,null,null,Preference for one of the treatment options
A_bert_rules,pass2_leaf_check,NCT03416413,NCT03416413_exc__item6,C1,NCT03416413_exc__item6_C1,exclusion_criteria.children[5],,patient is unwilling to participate,Patient who are unwilling to participate,,False,,False,True,evidence_in_item_text_only,other,patient is unwilling to participate,exists,null,null,null,Patient who are unwilling to participate
