branch,document_id,issue_type,criterion_id,paths,layer1b_action_category,detail
A_post_rescue,NCT03416413,duplicate_identical_leaf,,inclusion_criteria.children[1].children[0];inclusion_criteria.children[1].children[1],flag_only,Two or more leaves have identical structured content.
A_post_rescue,NCT02121145,duplicate_identical_leaf,,inclusion_criteria.children[3].children[0];inclusion_criteria.children[3].children[1],flag_only,Two or more leaves have identical structured content.
A_post_rescue,NCT02121145,duplicate_identical_leaf,,exclusion_criteria.children[1].children[1];exclusion_criteria.children[1].children[2],flag_only,Two or more leaves have identical structured content.
A_post_rescue,NCT02121145,duplicate_identical_leaf,,exclusion_criteria.children[5].children[0];exclusion_criteria.children[5].children[1],flag_only,Two or more leaves have identical structured content.
A_post_rescue,NCT02243553,duplicate_identical_leaf,,exclusion_criteria.children[0].children[0];exclusion_criteria.children[0].children[1];exclusion_criteria.children[0].children[2];exclusion_criteria.children[0].children[3];exclusion_criteria.children[0].children[4];exclusion_criteria.children[0].children[5];exclusion_criteria.children[0].children[6];exclusion_criteria.children[0].children[7],flag_only,Two or more leaves have identical structured content.
A_post_rescue,NCT02243553,duplicate_identical_leaf,,exclusion_criteria.children[5].children[0];exclusion_criteria.children[5].children[1];exclusion_criteria.children[5].children[2];exclusion_criteria.children[5].children[3];exclusion_criteria.children[5].children[4];exclusion_criteria.children[5].children[5];exclusion_criteria.children[5].children[6];exclusion_criteria.children[5].children[7];exclusion_criteria.children[5].children[8],flag_only,Two or more leaves have identical structured content.
A_post_rescue,NCT02243553,duplicate_identical_leaf,,exclusion_criteria.children[11].children[0];exclusion_criteria.children[11].children[1];exclusion_criteria.children[11].children[2];exclusion_criteria.children[11].children[3];exclusion_criteria.children[11].children[4];exclusion_criteria.children[11].children[5];exclusion_criteria.children[11].children[6];exclusion_criteria.children[11].children[7];exclusion_criteria.children[11].children[8],flag_only,Two or more leaves have identical structured content.
A_post_rescue,NCT02243553,duplicate_identical_leaf,,exclusion_criteria.children[13].children[2];exclusion_criteria.children[13].children[3],flag_only,Two or more leaves have identical structured content.
A_post_rescue,NCT02243553,duplicate_identical_leaf,,exclusion_criteria.children[14].children[0];exclusion_criteria.children[14].children[1],flag_only,Two or more leaves have identical structured content.
A_post_rescue,NCT02243553,duplicate_identical_leaf,,exclusion_criteria.children[15].children[0];exclusion_criteria.children[15].children[1],flag_only,Two or more leaves have identical structured content.
A_post_rescue,NCT00917891,duplicate_identical_leaf,,inclusion_criteria.children[7].children[2];inclusion_criteria.children[7].children[3],flag_only,Two or more leaves have identical structured content.
A_post_rescue,NCT00917891,duplicate_identical_leaf,,exclusion_criteria.children[5].children[0];exclusion_criteria.children[5].children[1];exclusion_criteria.children[5].children[2],flag_only,Two or more leaves have identical structured content.
A_post_rescue,NCT00917891,duplicate_identical_leaf,,exclusion_criteria.children[5].children[3];exclusion_criteria.children[5].children[4];exclusion_criteria.children[5].children[5],flag_only,Two or more leaves have identical structured content.
A_post_rescue,NCT00917891,duplicate_identical_leaf,,exclusion_criteria.children[6].children[0];exclusion_criteria.children[6].children[1],flag_only,Two or more leaves have identical structured content.
A_post_rescue,NCT00917891,duplicate_identical_leaf,,exclusion_criteria.children[7].children[0];exclusion_criteria.children[7].children[3],flag_only,Two or more leaves have identical structured content.
A_post_rescue,NCT00917891,duplicate_identical_leaf,,exclusion_criteria.children[8].children[1];exclusion_criteria.children[8].children[2];exclusion_criteria.children[8].children[3];exclusion_criteria.children[8].children[4];exclusion_criteria.children[8].children[5];exclusion_criteria.children[8].children[6];exclusion_criteria.children[8].children[7];exclusion_criteria.children[8].children[8],flag_only,Two or more leaves have identical structured content.
A_post_rescue,NCT00917891,duplicate_identical_leaf,,exclusion_criteria.children[9].children[2];exclusion_criteria.children[9].children[3],flag_only,Two or more leaves have identical structured content.
A_post_rescue,NCT01602081,duplicate_identical_leaf,,inclusion_criteria.children[0];inclusion_criteria.children[1],flag_only,Two or more leaves have identical structured content.
A_post_rescue,NCT03177811,duplicate_identical_leaf,,exclusion_criteria.children[0].children[1].children[0];exclusion_criteria.children[0].children[1].children[2],flag_only,Two or more leaves have identical structured content.
A_post_rescue,NCT03177811,duplicate_identical_leaf,,exclusion_criteria.children[2].children[0];exclusion_criteria.children[2].children[1];exclusion_criteria.children[2].children[2];exclusion_criteria.children[2].children[3],flag_only,Two or more leaves have identical structured content.
A_post_rescue,NCT03177811,duplicate_identical_leaf,,exclusion_criteria.children[3].children[1].children[0];exclusion_criteria.children[3].children[1].children[1],flag_only,Two or more leaves have identical structured content.
A_post_rescue,NCT02570347,duplicate_identical_leaf,,exclusion_criteria.children[4].children[0];exclusion_criteria.children[4].children[2],flag_only,Two or more leaves have identical structured content.
A_post_rescue,NCT02202369,duplicate_identical_leaf,,inclusion_criteria.children[0].children[0];inclusion_criteria.children[0].children[1],flag_only,Two or more leaves have identical structured content.
A_post_rescue,NCT02202369,duplicate_identical_leaf,,exclusion_criteria.children[1].children[0];exclusion_criteria.children[1].children[1],flag_only,Two or more leaves have identical structured content.
A_post_rescue,NCT03434951,duplicate_identical_leaf,,inclusion_criteria.children[1].children[0];inclusion_criteria.children[1].children[1];inclusion_criteria.children[1].children[2],flag_only,Two or more leaves have identical structured content.
A_post_rescue,NCT03434951,duplicate_identical_leaf,,exclusion_criteria.children[1].children[0];exclusion_criteria.children[1].children[1],flag_only,Two or more leaves have identical structured content.
A_post_rescue,NCT03434951,duplicate_identical_leaf,,exclusion_criteria.children[4].children[0];exclusion_criteria.children[4].children[1],flag_only,Two or more leaves have identical structured content.
A_post_rescue,NCT02783859,duplicate_identical_leaf,,exclusion_criteria.children[2].children[0];exclusion_criteria.children[2].children[1],flag_only,Two or more leaves have identical structured content.
A_post_rescue,NCT02783859,duplicate_identical_leaf,,exclusion_criteria.children[3].children[0];exclusion_criteria.children[3].children[1];exclusion_criteria.children[3].children[2].children[0],flag_only,Two or more leaves have identical structured content.
A_post_rescue,NCT02783859,duplicate_identical_leaf,,exclusion_criteria.children[4].children[0];exclusion_criteria.children[4].children[1],flag_only,Two or more leaves have identical structured content.
A_post_rescue,NCT03420638,duplicate_identical_leaf,,exclusion_criteria.children[2].children[0];exclusion_criteria.children[2].children[1],flag_only,Two or more leaves have identical structured content.
A_post_rescue,NCT03420638,duplicate_identical_leaf,,exclusion_criteria.children[4].children[0];exclusion_criteria.children[4].children[2],flag_only,Two or more leaves have identical structured content.
A_post_rescue,NCT03132259,duplicate_identical_leaf,,inclusion_criteria.children[1].children[0];inclusion_criteria.children[1].children[1],flag_only,Two or more leaves have identical structured content.
A_post_rescue,NCT03132259,duplicate_identical_leaf,,exclusion_criteria.children[9].children[0];exclusion_criteria.children[9].children[1],flag_only,Two or more leaves have identical structured content.
A_post_rescue,NCT00904202,duplicate_identical_leaf,,inclusion_criteria.children[2].children[0].children[1];inclusion_criteria.children[2].children[1].children[0],flag_only,Two or more leaves have identical structured content.
A_post_rescue,NCT00904202,duplicate_identical_leaf,,inclusion_criteria.children[8].children[0];inclusion_criteria.children[8].children[1],flag_only,Two or more leaves have identical structured content.
A_post_rescue,NCT01908465,duplicate_identical_leaf,,exclusion_criteria.children[3].children[0];exclusion_criteria.children[3].children[1],flag_only,Two or more leaves have identical structured content.
A_post_rescue,NCT03026465,duplicate_identical_leaf,,exclusion_criteria.children[4].children[0];exclusion_criteria.children[4].children[2],flag_only,Two or more leaves have identical structured content.
A_post_rescue,NCT03026465,duplicate_identical_leaf,,exclusion_criteria.children[4].children[1];exclusion_criteria.children[4].children[3],flag_only,Two or more leaves have identical structured content.
A_post_rescue,NCT03026465,duplicate_identical_leaf,,exclusion_criteria.children[5].children[0];exclusion_criteria.children[5].children[1];exclusion_criteria.children[5].children[2],flag_only,Two or more leaves have identical structured content.
A_post_rescue,NCT03026465,duplicate_identical_leaf,,exclusion_criteria.children[6].children[0];exclusion_criteria.children[6].children[1];exclusion_criteria.children[6].children[2],flag_only,Two or more leaves have identical structured content.
