branch,document_id,criterion_id,item_uid,clause_id,path,entity_type,entity_text,operator,value_type,value,unit,computability,evidence_text,layer1a_issues,layer1b_flags,layer1c_warnings,layer1d_issues,all_layer1_codes,layer1_policy_bucket,layer1_policy_severity,layer1_policy_action_hint,layer1_policy_reasons,layer1_policy_score,layer1_policy_hard_issue_count,layer1_policy_execution_issue_count
A,NCT03416413,NCT03416413_inc__item1_C1,NCT03416413_inc__item1,C1,inclusion_criteria.children[0],demographic,adults over 18 years of age,exists,null,,,computable,Adults over 18 years of age,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT03416413,NCT03416413_inc__item2_C1,NCT03416413_inc__item2,C1,inclusion_criteria.children[1].children[0],condition,GSV or SSV vein reflux,>,scalar,0.5,seconds,computable,Symptomatic GSV or SSV vein reflux > 0.5 seconds on colour Duplex,,duplicate_identical_leaf,comparison_with_non_quantitative_entity,,layer1b:duplicate_identical_leaf;layer1c:comparison_with_non_quantitative_entity,hard_or_semantic_layer1_issue,high,mandatory_rescue_or_review_candidate,high_semantic:comparison_with_non_quantitative_entity,1.0,1,0
A,NCT03416413,NCT03416413_inc__item2_C2,NCT03416413_inc__item2,C2,inclusion_criteria.children[1].children[1],condition,GSV or SSV vein reflux,>,scalar,0.5,seconds,computable,Symptomatic GSV or SSV vein reflux > 0.5 seconds on colour Duplex,,duplicate_identical_leaf,comparison_with_non_quantitative_entity,,layer1b:duplicate_identical_leaf;layer1c:comparison_with_non_quantitative_entity,hard_or_semantic_layer1_issue,high,mandatory_rescue_or_review_candidate,high_semantic:comparison_with_non_quantitative_entity,1.0,1,0
A,NCT03416413,NCT03416413_inc__item3_C1,NCT03416413_inc__item3,C1,inclusion_criteria.children[2],condition,varicose vein tributary requiring treatment,exists,null,,,partial,Varicose vein tributary requiring treatment,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT03416413,NCT03416413_exc__item1_C1,NCT03416413_exc__item1,C1,exclusion_criteria.children[0],procedure,DVT,exists,null,,,computable,Current DVT,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT03416413,NCT03416413_exc__item2_C1,NCT03416413_exc__item2,C1,exclusion_criteria.children[1],condition,varicose veins,exists,null,,,computable,Recurrent varicose veins,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT03416413,NCT03416413_exc__item3_C1,NCT03416413_exc__item3,C1,exclusion_criteria.children[2],lab,ABPI,<,scalar,0.8,,computable,Arterial disease (ABPI<0.8),,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT03416413,NCT03416413_exc__item4_C1,NCT03416413_exc__item4,C1,exclusion_criteria.children[3],lab,Vein diameter,<,scalar,3,mm,computable,Vein diameter < 3mm,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT03416413,NCT03416413_exc__item5_C1,NCT03416413_exc__item5,C1,exclusion_criteria.children[4],other,preference for one of the treatment options,exists,null,,,non_computable,Preference for one of the treatment options,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
A,NCT03416413,NCT03416413_exc__item6_C1,NCT03416413_exc__item6,C1,exclusion_criteria.children[5],other,unwilling to participate,exists,null,,,non_computable,Patient who are unwilling to participate,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0
