review_id,document_id,chia_id,item_uid,item_index,criterion_type,stratum,item_text,n_clauses,logic_chain,manual_logic_label,manual_logic_issue_type,manual_logic_notes,,,,,,,
I00001,NCT00319748,NCT00319748_inc,NCT00319748_inc__item1,1,inclusion,simple,Adequate performance status:,1,C1: adequate performance status,correct,,,,,,,,,
I00002,NCT00319748,NCT00319748_inc,NCT00319748_inc__item2,2,inclusion,simple,Breast - Karnofsky score > 50;,1,C1: Karnofsky score > 50,correct,,,,,,,,,
I00003,NCT00319748,NCT00319748_inc,NCT00319748_inc__item3,3,inclusion,multi_clause,"Ovarian, endometrial or cervical - Gynecologic Oncology Group (GOG) performance score ≤2",4,C1: ovarian cancer OR C2: endometrial cancer OR C3: cervical cancer AND C4: Gynecologic Oncology Group (GOG) performance score ≤2,correct,,,,,,,,,
I00004,NCT00319748,NCT00319748_inc,NCT00319748_inc__item4,4,inclusion,temporal,"If female and of childbearing potential, are willing to use adequate contraception (hormonal, barrier method, abstinence) prior to study entry and for the duration of study participation.",4,C1: female AND C2: of childbearing potential AND C3: willing to use adequate contraception prior to study entry AND C4: willing to use adequate contraception for the duration of study participation,correct,,,,,,,,,
I00005,NCT00319748,NCT00319748_inc,NCT00319748_inc__item5,5,inclusion,temporal,Normal organ function within 14 days of study entry,1,C1: normal organ function within 14 days of study entry,correct,,,,,,,,,
I00006,NCT00319748,NCT00319748_inc,NCT00319748_inc__item6,6,inclusion,simple,Diagnosis of one of the following malignancies:,1,C1: diagnosis of one of the following malignancies,partial,bad_evidence_scope,Clause 'diagnosis of one of the following malignancies' incomplete without listing specific malignancies,,,,,,,
I00007,NCT00319748,NCT00319748_inc,NCT00319748_inc__item7,7,inclusion,simple,Metastatic breast cancer (BR),1,C1: metastatic breast cancer,correct,,,,,,,,,
I00008,NCT00319748,NCT00319748_inc,NCT00319748_inc__item8,8,inclusion,simple,Metastatic ovarian cancer (OV),1,C1: metastatic ovarian cancer,correct,,,,,,,,,
I00009,NCT00319748,NCT00319748_inc,NCT00319748_inc__item9,9,inclusion,simple,Metastatic endometrial cancer (EM),1,C1: metastatic endometrial cancer (EM),correct,,,,,,,,,
I00010,NCT00319748,NCT00319748_inc,NCT00319748_inc__item10,10,inclusion,simple,Metastatic cervical cancer (CX),1,C1: metastatic cervical cancer (CX),correct,,,,,,,,,
I00011,NCT00319748,NCT00319748_inc,NCT00319748_inc__item11,11,inclusion,quantifier,Measurable metastatic disease (>1cm) in at least one site other than bone-only,2,C1: measurable metastatic disease (>1cm) AND [AT_LEAST 1] C2: in at least one site other than bone-only,correct,,,,,,,,,
I00012,NCT00319748,NCT00319748_inc,NCT00319748_inc__item12,12,inclusion,quantifier,Progression on or failure to respond to at least one previous chemotherapy regimen for metastatic disease,2,[AT_LEAST 1] C1: progression on at least one previous chemotherapy regimen for metastatic disease OR [AT_LEAST 1] C2: failure to respond to at least one previous chemotherapy regimen for metastatic disease,correct,,,,,,,,,
