branch,document_id,criterion_id,item_uid,clause_id,path,entity_type,entity_text,operator,value_type,value,unit,computability,evidence_text,layer1a_issues,layer1b_flags,layer1c_warnings,layer1d_issues,all_layer1_codes,layer1_policy_bucket,layer1_policy_severity,layer1_policy_action_hint,layer1_policy_reasons,layer1_policy_score,layer1_policy_hard_issue_count,layer1_policy_soft_warning_count,layer1_policy_execution_issue_count
B,NCT03416413,NCT03416413_inc__item1_C1,NCT03416413_inc__item1,C1,inclusion_criteria.children[0],demographic,Age,>,scalar,18,year,computable,Adults over 18 years of age,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0,0
B,NCT03416413,NCT03416413_inc__item2_C1,NCT03416413_inc__item2,C1,inclusion_criteria.children[1].children[0],condition,symptomatic GSV vein reflux,>,scalar,0.5,second,partial,Symptomatic GSV or SSV vein reflux > 0.5 seconds on colour Duplex,,,comparison_with_non_quantitative_entity,,layer1c:comparison_with_non_quantitative_entity,soft_semantic_warning,low_to_medium,continue_to_layer2_grounding_screen,soft_semantic:comparison_with_non_quantitative_entity,0.4,0,1,0
B,NCT03416413,NCT03416413_inc__item2_C2,NCT03416413_inc__item2,C2,inclusion_criteria.children[1].children[1],condition,symptomatic SSV vein reflux,>,scalar,0.5,second,partial,Symptomatic GSV or SSV vein reflux > 0.5 seconds on colour Duplex,,,comparison_with_non_quantitative_entity,,layer1c:comparison_with_non_quantitative_entity,soft_semantic_warning,low_to_medium,continue_to_layer2_grounding_screen,soft_semantic:comparison_with_non_quantitative_entity,0.4,0,1,0
B,NCT03416413,NCT03416413_inc__item3_C1,NCT03416413_inc__item3,C1,inclusion_criteria.children[2],condition,varicose vein tributary requiring treatment,exists,null,,,partial,Varicose vein tributary requiring treatment,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0,0
B,NCT03416413,NCT03416413_exc__item1_C1,NCT03416413_exc__item1,C1,exclusion_criteria.children[0],condition,deep vein thrombosis (DVT),exists,null,,,computable,Current DVT,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0,0
B,NCT03416413,NCT03416413_exc__item2_C1,NCT03416413_exc__item2,C1,exclusion_criteria.children[1],condition,recurrent varicose veins,exists,null,,,computable,Recurrent varicose veins,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0,0
B,NCT03416413,NCT03416413_exc__item3_C1,NCT03416413_exc__item3,C1,exclusion_criteria.children[2],lab,ABPI,<,scalar,0.8,,computable,Arterial disease (ABPI<0.8),,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0,0
B,NCT03416413,NCT03416413_exc__item4_C1,NCT03416413_exc__item4,C1,exclusion_criteria.children[3],observation,Vein diameter,<,scalar,3,mm,computable,Vein diameter < 3mm,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0,0
B,NCT03416413,NCT03416413_exc__item5_C1,NCT03416413_exc__item5,C1,exclusion_criteria.children[4],other,preference for one of the treatment options,exists,null,,,non_computable,Preference for one of the treatment options,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0,0
B,NCT03416413,NCT03416413_exc__item6_C1,NCT03416413_exc__item6,C1,exclusion_criteria.children[5],other,unwilling to participate,exists,null,,,non_computable,Patient who are unwilling to participate,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0,0
B,NCT03416413,NCT03416413_exc__item7_C1,NCT03416413_exc__item7,C1,exclusion_criteria.children[6].children[0],other,inability to complete questionnaires,exists,null,,,non_computable,Inability or unwillingness to complete questionnaires,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0,0
B,NCT03416413,NCT03416413_exc__item7_C2,NCT03416413_exc__item7,C2,exclusion_criteria.children[6].children[1],other,unwillingness to complete questionnaires,exists,null,,,non_computable,Inability or unwillingness to complete questionnaires,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0,0
B,NCT03416413,NCT03416413_exc__item8_C1,NCT03416413_exc__item8,C1,exclusion_criteria.children[7],other,ability to attend follow-up appointments,=,scalar,"""unable""",,non_computable,Inability to attend follow-up appointments,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0,0
B,NCT03416413,NCT03416413_exc__item9_C1,NCT03416413_exc__item9,C1,exclusion_criteria.children[8],other,currently included in a study of varicose vein treatment,exists,null,,,non_computable,Patient currently included in a study of varicose vein treatment,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0,0
B,NCT02121145,NCT02121145_inc__item1_C1,NCT02121145_inc__item1,C1,inclusion_criteria.children[0].children[0],demographic,sex,=,scalar,"""male""",,computable,Male or female subjects,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0,0
B,NCT02121145,NCT02121145_inc__item1_C2,NCT02121145_inc__item1,C2,inclusion_criteria.children[0].children[1].children[0],demographic,sex,=,scalar,"""female""",,computable,female subjects,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0,0
B,NCT02121145,NCT02121145_inc__item1_C3,NCT02121145_inc__item1,C3,inclusion_criteria.children[0].children[1].children[1],demographic,age,between,range,"{""min"": 18, ""max"": 65}",year,computable,aged =18 to =65 years,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0,0
B,NCT02121145,NCT02121145_inc__item2_C1,NCT02121145_inc__item2,C1,inclusion_criteria.children[1],observation,general good health,exists,null,,,non_computable,General good health as established by medical history and physical examination,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0,0
B,NCT02121145,NCT02121145_inc__item3_C1,NCT02121145_inc__item3,C1,inclusion_criteria.children[2],other,written informed consent,exists,null,,,non_computable,Written informed consent,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0,0
B,NCT02121145,NCT02121145_inc__item4_C1,NCT02121145_inc__item4,C1,inclusion_criteria.children[3].children[0],therapy,efficacious hormonal method of birth control,exists,null,,,non_computable,Females of childbearing potential must agree to use an efficacious hormonal or barrier method of birth control during the study.,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0,0
B,NCT02121145,NCT02121145_inc__item4_C2,NCT02121145_inc__item4,C2,inclusion_criteria.children[3].children[1],therapy,efficacious barrier method of birth control,exists,null,,,non_computable,Females of childbearing potential must agree to use an efficacious hormonal or barrier method of birth control during the study.,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0,0
B,NCT02121145,NCT02121145_inc__item4_C3,NCT02121145_inc__item4,C3,inclusion_criteria.children[3].children[2],observation,abstinence,exists,null,,,non_computable,Abstinence is acceptable.,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0,0
B,NCT02121145,NCT02121145_inc__item5_C1,NCT02121145_inc__item5,C1,inclusion_criteria.children[4],other,available for all visits scheduled in this study,exists,null,,,non_computable,Available for all visits scheduled in this study.,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0,0
B,NCT02121145,NCT02121145_exc__item1_C1,NCT02121145_exc__item1,C1,exclusion_criteria.children[0],procedure,vaccination against typhoid fever,exists,null,,,partial,Vaccination against typhoid fever within 5 years before dosing.,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0,0
B,NCT02121145,NCT02121145_exc__item2_C1,NCT02121145_exc__item2,C1,exclusion_criteria.children[1].children[0],condition,clinical typhoid fever,exists,null,,,computable,History of clinical typhoid fever,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0,0
B,NCT02121145,NCT02121145_exc__item2_C2,NCT02121145_exc__item2,C2,exclusion_criteria.children[1].children[1],condition,clinical paratyphoid A fever,exists,null,,,computable,clinical paratyphoid A or B fever,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0,0
B,NCT02121145,NCT02121145_exc__item2_C3,NCT02121145_exc__item2,C3,exclusion_criteria.children[1].children[2],condition,clinical paratyphoid B fever,exists,null,,,computable,clinical paratyphoid A or B fever,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0,0
B,NCT02121145,NCT02121145_exc__item3_C1,NCT02121145_exc__item3,C1,exclusion_criteria.children[2].children[0],procedure,immunization with any other vaccine (oral or parenteral),exists,null,,,partial,Immunization with any other vaccine (oral or parenteral) within 4 weeks prior to study start,,,temporal_anchor_mismatch_from_source,,layer1c:temporal_anchor_mismatch_from_source,hard_semantic_or_structural_issue,high,mandatory_verifier_candidate,hard_semantic:temporal_anchor_mismatch_from_source,1.0,1,0,0
B,NCT02121145,NCT02121145_exc__item3_C2,NCT02121145_exc__item3,C2,exclusion_criteria.children[2].children[1],procedure,planned vaccination,exists,null,,,non_computable,planned vaccination during the study,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0,0
B,NCT02121145,NCT02121145_exc__item4_C1,NCT02121145_exc__item4,C1,exclusion_criteria.children[3].children[0],drug,antibiotics,exists,null,,,computable,Current intake of antibiotics,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0,0
B,NCT02121145,NCT02121145_exc__item4_C2,NCT02121145_exc__item4,C2,exclusion_criteria.children[3].children[1],therapy,end of antibiotic therapy,exists,null,,,partial,end of antibiotic therapy <8 days before first IMP administration,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0,0
B,NCT02121145,NCT02121145_exc__item5_C1,NCT02121145_exc__item5,C1,exclusion_criteria.children[4].children[0],drug,immunosuppressants (chronic administration >14 days),exists,null,,,partial,Chronic (longer than 14 days) administration of immunosuppressants or other immune-modifying drugs within 6 months before the first dose of investigational vaccine,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0,0
B,NCT02121145,NCT02121145_exc__item5_C2,NCT02121145_exc__item5,C2,exclusion_criteria.children[4].children[1],drug,other immune-modifying drugs (chronic administration >14 days),exists,null,,,partial,Chronic (longer than 14 days) administration of immunosuppressants or other immune-modifying drugs within 6 months before the first dose of investigational vaccine,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0,0
B,NCT02121145,NCT02121145_exc__item5_C3,NCT02121145_exc__item5,C3,exclusion_criteria.children[4].children[2].children[0],drug,oral corticosteroids (prednisolone or equivalent) dose,>=,scalar,0.5,mg/kg/d,partial,oral corticosteroids in dosages of =0.5 mg/kg/d prednisolone or equivalent are excluded,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0,0
B,NCT02121145,NCT02121145_exc__item5_C4,NCT02121145_exc__item5,C4,exclusion_criteria.children[4].children[2].children[1],drug,inhaled steroids,not_exists,null,,,non_computable,inhaled or topical steroids are allowed,,,,positive_clause_with_not_exists_operator,layer1d:positive_clause_with_not_exists_operator,hard_semantic_or_structural_issue,high,mandatory_verifier_candidate,hard_semantic:positive_clause_with_not_exists_operator,1.0,1,0,0
B,NCT02121145,NCT02121145_exc__item5_C5,NCT02121145_exc__item5,C5,exclusion_criteria.children[4].children[3],drug,topical steroids,not_exists,null,,,non_computable,inhaled or topical steroids are allowed,,,,positive_clause_with_not_exists_operator,layer1d:positive_clause_with_not_exists_operator,hard_semantic_or_structural_issue,high,mandatory_verifier_candidate,hard_semantic:positive_clause_with_not_exists_operator,1.0,1,0,0
B,NCT02121145,NCT02121145_exc__item6_C1,NCT02121145_exc__item6,C1,exclusion_criteria.children[5].children[0],condition,acute clinically significant gastrointestinal disease,exists,null,,,partial,Acute or chronic clinically significant gastrointestinal disease,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0,0
B,NCT02121145,NCT02121145_exc__item6_C2,NCT02121145_exc__item6,C2,exclusion_criteria.children[5].children[1],condition,chronic clinically significant gastrointestinal disease,exists,null,,,partial,Acute or chronic clinically significant gastrointestinal disease,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0,0
B,NCT02243553,NCT02243553_inc__item1_C1,NCT02243553_inc__item1,C1,inclusion_criteria.children[0],other,signed informed consent,exists,null,,,non_computable,Signed informed consent,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0,0
B,NCT02243553,NCT02243553_inc__item2_C1,NCT02243553_inc__item2,C1,inclusion_criteria.children[1].children[0],observation,healthy subject,exists,null,,,partial,Healthy subjects,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0,0
B,NCT02243553,NCT02243553_inc__item2_C2,NCT02243553_inc__item2,C2,inclusion_criteria.children[1].children[1],demographic,age,between,range,"{""min"": 18, ""max"": 45}",year,computable,aged between 18 years and 45 years inclusive,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0,0
B,NCT02243553,NCT02243553_inc__item3_C1,NCT02243553_inc__item3,C1,inclusion_criteria.children[2],vital,weight,>=,scalar,50,kg,computable,Weighing at least 50 kg,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0,0
B,NCT02243553,NCT02243553_inc__item4_C1,NCT02243553_inc__item4,C1,inclusion_criteria.children[3].children[0],procedure,hospitalized,exists,null,,,non_computable,"Volunteers must be hospitalized on Days 1-4, 7-9, and 17-20 for pharmacokinetic assessments",,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0,0
B,NCT02243553,NCT02243553_inc__item4_C2,NCT02243553_inc__item4,C2,inclusion_criteria.children[3].children[1],procedure,hospitalized,exists,null,,,non_computable,"Volunteers must be hospitalized on Days 1-4, 7-9, and 17-20 for pharmacokinetic assessments",,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0,0
B,NCT02243553,NCT02243553_inc__item4_C3,NCT02243553_inc__item4,C3,inclusion_criteria.children[3].children[2],procedure,hospitalized,exists,null,,,non_computable,"Volunteers must be hospitalized on Days 1-4, 7-9, and 17-20 for pharmacokinetic assessments",,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0,0
B,NCT02243553,NCT02243553_inc__item4_C4,NCT02243553_inc__item4,C4,inclusion_criteria.children[3].children[3],procedure,pharmacokinetic assessments for each biomarker,exists,null,,,non_computable,for pharmacokinetic assessments for each biomarker,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0,0
B,NCT02243553,NCT02243553_inc__item4_C5,NCT02243553_inc__item4,C5,inclusion_criteria.children[3].children[4],procedure,pharmacokinetic assessments for TPV/r,exists,null,,,non_computable,and TPV/r (Days 7-9 and 17-20),,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0,0
B,NCT02243553,NCT02243553_inc__item4_C6,NCT02243553_inc__item4,C6,inclusion_criteria.children[3].children[5],procedure,pharmacokinetic assessments for TPV/r,exists,null,,,non_computable,and TPV/r (Days 7-9 and 17-20),,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0,0
B,NCT02243553,NCT02243553_inc__item5_C1,NCT02243553_inc__item5,C1,inclusion_criteria.children[4],other,willing to complete all study-related activities,exists,null,,,non_computable,Volunteers must be willing to complete all study-related activities,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0,0
B,NCT02243553,NCT02243553_inc__item6_C1,NCT02243553_inc__item6,C1,inclusion_criteria.children[5],other,valid social security number,exists,null,,,non_computable,Each volunteer must have a valid social security number,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0,0
B,NCT02243553,NCT02243553_inc__item7_C1,NCT02243553_inc__item7,C1,inclusion_criteria.children[6].children[0],observation,acceptable medical history,exists,null,,,partial,must have acceptable medical history,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0,0
B,NCT02243553,NCT02243553_inc__item7_C2,NCT02243553_inc__item7,C2,inclusion_criteria.children[6].children[1],procedure,acceptable physical examination,exists,null,,,partial,physical examination,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0,0
B,NCT02243553,NCT02243553_inc__item7_C3,NCT02243553_inc__item7,C3,inclusion_criteria.children[6].children[2],lab,acceptable laboratory test,exists,null,,,partial,laboratory test,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0,0
B,NCT02243553,NCT02243553_exc__item1_C1,NCT02243553_exc__item1,C1,exclusion_criteria.children[0].children[0],observation,allergy to the study drugs,exists,null,,,partial,"History or presence of allergy to the study drugs or their components or drugs of their class, or a history of drug or other allergy that, in the opinion of the physician responsible, contraindicates their participation",,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0,0
B,NCT02243553,NCT02243553_exc__item1_C2,NCT02243553_exc__item1,C2,exclusion_criteria.children[0].children[1],observation,allergy to the study drugs,exists,null,,,partial,"History or presence of allergy to the study drugs or their components or drugs of their class, or a history of drug or other allergy that, in the opinion of the physician responsible, contraindicates their participation",,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0,0
B,NCT02243553,NCT02243553_exc__item1_C3,NCT02243553_exc__item1,C3,exclusion_criteria.children[0].children[2],observation,allergy to components of the study drugs,exists,null,,,partial,"History or presence of allergy to the study drugs or their components or drugs of their class, or a history of drug or other allergy that, in the opinion of the physician responsible, contraindicates their participation",,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0,0
B,NCT02243553,NCT02243553_exc__item1_C4,NCT02243553_exc__item1,C4,exclusion_criteria.children[0].children[3],observation,allergy to components of the study drugs,exists,null,,,partial,"History or presence of allergy to the study drugs or their components or drugs of their class, or a history of drug or other allergy that, in the opinion of the physician responsible, contraindicates their participation",,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0,0
B,NCT02243553,NCT02243553_exc__item1_C5,NCT02243553_exc__item1,C5,exclusion_criteria.children[0].children[4],observation,allergy to drugs of the study drugs' class,exists,null,,,partial,"History or presence of allergy to the study drugs or their components or drugs of their class, or a history of drug or other allergy that, in the opinion of the physician responsible, contraindicates their participation",,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0,0
B,NCT02243553,NCT02243553_exc__item1_C6,NCT02243553_exc__item1,C6,exclusion_criteria.children[0].children[5],observation,allergy to drugs of the study drugs' class,exists,null,,,partial,"History or presence of allergy to the study drugs or their components or drugs of their class, or a history of drug or other allergy that, in the opinion of the physician responsible, contraindicates their participation",,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0,0
B,NCT02243553,NCT02243553_exc__item1_C7,NCT02243553_exc__item1,C7,exclusion_criteria.children[0].children[6],observation,history of drug allergy contraindicating participation per physician opinion,exists,null,,,non_computable,"History or presence of allergy to the study drugs or their components or drugs of their class, or a history of drug or other allergy that, in the opinion of the physician responsible, contraindicates their participation",,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0,0
B,NCT02243553,NCT02243553_exc__item1_C8,NCT02243553_exc__item1,C8,exclusion_criteria.children[0].children[7],observation,history of other allergy contraindicating participation per physician opinion,exists,null,,,non_computable,"History or presence of allergy to the study drugs or their components or drugs of their class, or a history of drug or other allergy that, in the opinion of the physician responsible, contraindicates their participation",,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0,0
B,NCT02243553,NCT02243553_exc__item2_C1,NCT02243553_exc__item2,C1,exclusion_criteria.children[1].children[0],observation,finding of the medical examination deviating from normal,exists,null,,,partial,"Any finding of the medical examination (including blood pressure, pulse rate and electrocardiogram) deviating from normal",,,existence_operator_on_quantitative_phrase,,layer1c:existence_operator_on_quantitative_phrase,hard_semantic_or_structural_issue,high,mandatory_verifier_candidate,hard_semantic:existence_operator_on_quantitative_phrase,1.0,1,0,0
B,NCT02243553,NCT02243553_exc__item2_C2,NCT02243553_exc__item2,C2,exclusion_criteria.children[1].children[1],observation,finding of the medical examination of clinical relevance,exists,null,,,non_computable,"Any finding of the medical examination (including blood pressure, pulse rate and electrocardiogram) deviating from normal and of clinical relevance",,,categorical_value_missing;existence_operator_on_quantitative_phrase,,layer1c:categorical_value_missing;layer1c:existence_operator_on_quantitative_phrase,hard_semantic_or_structural_issue,high,mandatory_verifier_candidate,hard_semantic:categorical_value_missing|existence_operator_on_quantitative_phrase,1.0,2,0,0
B,NCT02243553,NCT02243553_exc__item3_C1,NCT02243553_exc__item3,C1,exclusion_criteria.children[2].children[0],condition,significant medical conditions,exists,null,,,partial,History or diagnosis of any significant medical conditions,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0,0
B,NCT02243553,NCT02243553_exc__item3_C2,NCT02243553_exc__item3,C2,exclusion_criteria.children[2].children[1],condition,significant medical conditions,exists,null,,,partial,History or diagnosis of any significant medical conditions,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0,0
B,NCT02243553,NCT02243553_exc__item4_C1,NCT02243553_exc__item4,C1,exclusion_criteria.children[3],lab,elevated liver enzymes,exists,null,,,partial,Known elevated liver enzymes in past clinical trials with any compound (experimental or marketed),,,existence_operator_on_quantitative_phrase,,layer1c:existence_operator_on_quantitative_phrase,hard_semantic_or_structural_issue,high,mandatory_verifier_candidate,hard_semantic:existence_operator_on_quantitative_phrase,1.0,1,0,0
B,NCT02243553,NCT02243553_exc__item5_C1,NCT02243553_exc__item5,C1,exclusion_criteria.children[4],lab,clinically relevant laboratory abnormalities,exists,null,,,partial,Clinically relevant laboratory abnormalities,,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0,0
B,NCT02243553,NCT02243553_exc__item6_C1,NCT02243553_exc__item6,C1,exclusion_criteria.children[5].children[0],condition,clinically significant hepatic disease,exists,null,,,partial,"History of evidence of clinically significant hepatic, cardiac, pulmonary, endocrine, immunological, gastrointestinal, hematological, vascular or collagen disease",,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0,0
B,NCT02243553,NCT02243553_exc__item6_C2,NCT02243553_exc__item6,C2,exclusion_criteria.children[5].children[1],condition,clinically significant cardiac disease,exists,null,,,partial,"History of evidence of clinically significant hepatic, cardiac, pulmonary, endocrine, immunological, gastrointestinal, hematological, vascular or collagen disease",,,,,,no_layer1_issue,none,continue_to_layer2,,0.0,0,0,0
