plan_id,branch_to_update,criterion_id,final_decision,selected_source,apply_status,apply_action,skip_reason,changed_fields,old_entity_text,new_entity_text,old_operator,new_operator,old_value_type,new_value_type,old_value,new_value,old_unit,new_unit,old_computability,new_computability,local_validation_status,local_validation_reasons,decision,old_negated,new_negated,selection_reason,confidence
B__NCT00319748_exc__item13_C2__B_main_llm_rescue__branch_b_field_level_semantic_judge,B,NCT00319748_exc__item13_C2,human_review,none,skipped,no_update,not_applicable_final_decision:human_review,[],immunosuppressive therapy,immunosuppressive therapy,exists,exists,null,null,,,,,partial,partial,not_applicable,[],human_review,,,B_current did not pass and no generated candidate improved enough. Best=B_current score 3.00/5; B_current score 3.00/5.,low
B__NCT00319748_exc__item16_C1__B_main_llm_rescue__value_or_operator_recovery,B,NCT00319748_exc__item16_C1,human_review,none,skipped,no_update,not_applicable_final_decision:human_review,[],concurrent malignancy,concurrent malignancy,exists,exists,null,null,,,,,partial,partial,not_applicable,[],human_review,,,B_current did not pass and no generated candidate improved enough. Best=B_current score 3.94/5; B_current score 3.94/5.,low
B__NCT00319748_exc__item16_C2__B_main_llm_rescue__entity_regrounding,B,NCT00319748_exc__item16_C2,human_review,none,skipped,no_update,not_applicable_final_decision:human_review,[],malignancy in remission with less than 5 years disease free,malignancy in remission with less than 5 years disease free,exists,exists,range,range,"{""min"": null, ""max"": 5}","{""min"": null, ""max"": 5}",year,year,partial,partial,not_applicable,[],human_review,,,B_current did not pass and no generated candidate improved enough. Best=B_current score 2.38/5; B_current score 2.38/5.,low
B__NCT00319748_exc__item4_C1__B_main_llm_rescue__temporal_context_recovery,B,NCT00319748_exc__item4_C1,human_review,none,skipped,no_update,not_applicable_final_decision:human_review,[],immunosuppressive therapy,immunosuppressive therapy,exists,exists,null,null,,,,,computable,computable,not_applicable,[],human_review,,,B_current did not pass and no generated candidate improved enough. Best=B_current score 3.12/5; B_current score 3.12/5.,low
B__NCT00319748_exc__item5_C1__B_main_llm_rescue__condition_exception_context_recovery,B,NCT00319748_exc__item5_C1,human_review,none,skipped,no_update,not_applicable_final_decision:human_review,[],drugs known to induce QT interval prolongation and/or induce Torsades de pointes unless best available drug required to treat life-threatening conditions,drugs known to induce QT interval prolongation and/or induce Torsades de pointes unless best available drug required to treat life-threatening conditions,exists,exists,null,null,,,,,partial,partial,not_applicable,[],human_review,,,B_current did not pass and no generated candidate improved enough. Best=B_current score 2.75/5; B_current score 2.75/5.,low
B__NCT00319748_inc__item11_C1__B_main_llm_rescue__value_or_operator_recovery,B,NCT00319748_inc__item11_C1,human_review,none,skipped,no_update,not_applicable_final_decision:human_review,[],measurable metastatic disease,measurable metastatic disease,exists,exists,scalar,scalar,>1 cm,>1 cm,,,partial,partial,not_applicable,[],human_review,,,B_current did not pass and no generated candidate improved enough. Best=B_current score 4.00/5; B_current score 4.00/5.,low
B__NCT00319748_inc__item11_C2__B_main_llm_rescue__entity_regrounding,B,NCT00319748_inc__item11_C2,human_review,none,skipped,no_update,not_applicable_final_decision:human_review,[],metastatic disease present in at least one site other than bone-only,metastatic disease present in at least one site other than bone-only,exists,exists,scalar,scalar,>=1 non-bone site (not bone-only),>=1 non-bone site (not bone-only),,,partial,partial,not_applicable,[],human_review,,,B_current did not pass and no generated candidate improved enough. Best=B_current score 3.00/5; B_current score 3.00/5.,low
B__NCT00319748_inc__item12_C1__B_main_llm_rescue__entity_regrounding,B,NCT00319748_inc__item12_C1,human_review,none,skipped,no_update,not_applicable_final_decision:human_review,[],progression on at least one previous chemotherapy regimen for metastatic disease,progression on at least one previous chemotherapy regimen for metastatic disease,exists,exists,scalar,scalar,>=1 prior chemotherapy regimen for metastatic disease with progression,>=1 prior chemotherapy regimen for metastatic disease with progression,,,partial,partial,not_applicable,[],human_review,,,B_current did not pass and no generated candidate improved enough. Best=B_current score 4.00/5; B_current score 4.00/5.,low
B__NCT00319748_inc__item12_C2__B_main_llm_rescue__value_or_operator_recovery,B,NCT00319748_inc__item12_C2,human_review,none,skipped,no_update,not_applicable_final_decision:human_review,[],failure to respond to at least one previous chemotherapy regimen for metastatic disease,failure to respond to at least one previous chemotherapy regimen for metastatic disease,exists,exists,scalar,scalar,>=1 prior chemotherapy regimen for metastatic disease with failure to respond,>=1 prior chemotherapy regimen for metastatic disease with failure to respond,,,partial,partial,not_applicable,[],human_review,,,B_current did not pass and no generated candidate improved enough. Best=B_current score 3.90/5; B_current score 3.90/5.,low
B__NCT00319748_inc__item13_C1__B_main_llm_rescue__entity_regrounding,B,NCT00319748_inc__item13_C1,human_review,none,skipped,no_update,not_applicable_final_decision:human_review,[],progression on prior therapy with a hormonal agent if estrogen receptor positive,progression on prior therapy with a hormonal agent if estrogen receptor positive,exists,exists,null,null,,,,,partial,partial,not_applicable,[],human_review,,,B_current did not pass and no generated candidate improved enough. Best=B_current score 3.56/5; B_current score 3.56/5.,low
B__NCT00319748_inc__item13_C2__B_main_llm_rescue__entity_regrounding,B,NCT00319748_inc__item13_C2,human_review,none,skipped,no_update,not_applicable_final_decision:human_review,[],progression on prior therapy with a hormonal agent if progesterone receptor positive,progression on prior therapy with a hormonal agent if progesterone receptor positive,exists,exists,null,null,,,,,partial,partial,not_applicable,[],human_review,,,B_current did not pass and no generated candidate improved enough. Best=B_current score 3.50/5; B_current score 3.50/5.,low
B__NCT00319748_inc__item13_C3__B_main_llm_rescue__entity_regrounding,B,NCT00319748_inc__item13_C3,human_review,none,skipped,no_update,not_applicable_final_decision:human_review,[],progression on prior therapy with trastuzumab if HER2-neu positive,progression on prior therapy with trastuzumab if HER2-neu positive,exists,exists,null,null,,,,,partial,partial,not_applicable,[],human_review,,,B_current did not pass and no generated candidate improved enough. Best=B_current score 4.06/5; B_current score 4.06/5.,low
