plan_id,branch_to_update,criterion_id,document_id,item_uid,clause_id,execution_group,execution_priority,rescue_strategy,rescue_task_type,include_A_current,include_B_current,allow_new_llm_candidate,max_llm_attempts,requires_llm,requires_reverification,safe_to_apply_without_llm,blocked_from_auto_apply,b_candidate_allowed,b_candidate_reason,selection_policy,why_selected,why_deferred_or_blocked,source_branch,source_run_stage,source_candidate_kind,source_issue_codes,source_risk_reasons,source_diagnosis_summary,branch_a_risk_label,branch_a_leaf_support,branch_b_final_routing_decision,branch_b_semantic_grounding_risk_label,branch_b_semantic_grounding_support,branch_b_execution_risk_label,branch_b_execution_support
A__NCT00319748_exc__item16_C1__A_status_or_review__condition_exception_context_review,A,NCT00319748_exc__item16_C1,NCT00319748,NCT00319748_exc__item16,C1,A_status_or_review,30,abstain_or_human_review_for_context_logic,condition_exception_context_review,1,1,0,0,0,1,0,1,1,branch_b_available_as_candidate_routing:llm_verifier|soft_warning:branch_b_context_or_exception_scope_problem,Do not flatten condition/exception logic into a computable leaf. Preserve evidence and mark partial or human_review.,,Condition/exception context changes clinical logic. This should not be auto-repaired by a simple leaf-level prompt.,A,P3_branch_a_mandatory_diagnostic_rescue_or_ablation,mandatory_llm_rescue_or_judge,comparison_with_non_quantitative_entity,,comparison_with_non_quantitative_entity;computability_partial;condition_or_exception_marker_without_context;high_semantic:comparison_with_non_quantitative_entity;layer1_inventory_flag;layer1_policy_mandatory_rescue_or_review,review_priority,0.4,llm_verifier,reference_review_priority,0.35,reference_intermediate_support,0.6
A__NCT00319748_exc__item5_C1__A_status_or_review__condition_exception_context_review,A,NCT00319748_exc__item5_C1,NCT00319748,NCT00319748_exc__item5,C1,A_status_or_review,30,abstain_or_human_review_for_context_logic,condition_exception_context_review,1,1,0,0,0,1,0,1,1,branch_b_available_as_candidate_routing:llm_verifier|soft_warning:branch_b_context_or_exception_scope_problem,Do not flatten condition/exception logic into a computable leaf. Preserve evidence and mark partial or human_review.,,Condition/exception context changes clinical logic. This should not be auto-repaired by a simple leaf-level prompt.,A,P3_branch_a_mandatory_diagnostic_rescue_or_ablation,mandatory_llm_rescue_or_judge,,,computability_partial;condition_or_exception_marker_without_context;layer1_inventory_flag;layer1d_pass1_pass2_logic_flag,review_priority,0.4,llm_verifier,reference_review_priority,0.4,reference_intermediate_support,0.6
A__NCT00319748_inc__item13_C1__A_status_or_review__condition_exception_context_review,A,NCT00319748_inc__item13_C1,NCT00319748,NCT00319748_inc__item13,C1,A_status_or_review,30,abstain_or_human_review_for_context_logic,condition_exception_context_review,1,1,0,0,0,1,0,1,1,branch_b_available_as_candidate_routing:llm_verifier|soft_warning:branch_b_context_or_exception_scope_problem,Do not flatten condition/exception logic into a computable leaf. Preserve evidence and mark partial or human_review.,,Condition/exception context changes clinical logic. This should not be auto-repaired by a simple leaf-level prompt.,A,P3_branch_a_mandatory_diagnostic_rescue_or_ablation,mandatory_llm_rescue_or_judge,categorical_value_missing;condition_context_present_without_handling;duplicate_identical_leaf;exception_or_condition_clause_with_computable_status;exception_or_condition_clause_without_context_handling;existence_operator_on_quantitative_phrase,,categorical_value_missing;computable_with_unhandled_condition_or_exception;condition_context_present_without_handling;duplicate_identical_leaf;exception_or_condition_clause_with_computable_status;exception_or_condition_clause_without_context_handling;existence_operator_on_quantitative_phrase;high_semantic:categorical_value_missing;history_marker_without_history_context;layer1_inventory_flag;layer1_policy_mandatory_rescue_or_review;layer1d_pass1_pass2_logic_flag,review_priority,0.3,llm_verifier,reference_review_priority,0.4,reference_intermediate_support,0.6
A__NCT00319748_inc__item13_C2__A_status_or_review__condition_exception_context_review,A,NCT00319748_inc__item13_C2,NCT00319748,NCT00319748_inc__item13,C2,A_status_or_review,30,abstain_or_human_review_for_context_logic,condition_exception_context_review,1,1,0,0,0,1,0,1,1,branch_b_available_as_candidate_routing:llm_verifier|soft_warning:branch_b_context_or_exception_scope_problem,Do not flatten condition/exception logic into a computable leaf. Preserve evidence and mark partial or human_review.,,Condition/exception context changes clinical logic. This should not be auto-repaired by a simple leaf-level prompt.,A,P3_branch_a_mandatory_diagnostic_rescue_or_ablation,mandatory_llm_rescue_or_judge,categorical_value_missing;condition_context_present_without_handling;duplicate_identical_leaf;exception_or_condition_clause_with_computable_status;exception_or_condition_clause_without_context_handling;existence_operator_on_quantitative_phrase,,categorical_value_missing;computable_with_unhandled_condition_or_exception;condition_context_present_without_handling;duplicate_identical_leaf;exception_or_condition_clause_with_computable_status;exception_or_condition_clause_without_context_handling;existence_operator_on_quantitative_phrase;high_semantic:categorical_value_missing;history_marker_without_history_context;layer1_inventory_flag;layer1_policy_mandatory_rescue_or_review;layer1d_pass1_pass2_logic_flag,review_priority,0.3,llm_verifier,reference_review_priority,0.4,reference_intermediate_support,0.6
A__NCT00319748_inc__item13_C3__A_status_or_review__condition_exception_context_review,A,NCT00319748_inc__item13_C3,NCT00319748,NCT00319748_inc__item13,C3,A_status_or_review,30,abstain_or_human_review_for_context_logic,condition_exception_context_review,1,1,0,0,0,1,0,1,1,branch_b_available_as_candidate_routing:llm_verifier|soft_warning:branch_b_context_or_exception_scope_problem,Do not flatten condition/exception logic into a computable leaf. Preserve evidence and mark partial or human_review.,,Condition/exception context changes clinical logic. This should not be auto-repaired by a simple leaf-level prompt.,A,P3_branch_a_mandatory_diagnostic_rescue_or_ablation,mandatory_llm_rescue_or_judge,categorical_value_missing;condition_context_present_without_handling;exception_or_condition_clause_with_computable_status;exception_or_condition_clause_without_context_handling;existence_operator_on_quantitative_phrase,,categorical_value_missing;computable_with_unhandled_condition_or_exception;condition_context_present_without_handling;exception_or_condition_clause_with_computable_status;exception_or_condition_clause_without_context_handling;existence_operator_on_quantitative_phrase;high_semantic:categorical_value_missing;history_marker_without_history_context;layer1_inventory_flag;layer1_policy_mandatory_rescue_or_review;layer1d_pass1_pass2_logic_flag,review_priority,0.3,llm_verifier,reference_review_priority,0.4,reference_intermediate_support,0.6
A__NCT00461136_exc__item16_C2__A_status_or_review__condition_exception_context_review,A,NCT00461136_exc__item16_C2,NCT00461136,NCT00461136_exc__item16,C2,A_status_or_review,30,abstain_or_human_review_for_context_logic,condition_exception_context_review,1,1,0,0,0,1,0,1,1,branch_b_available_as_candidate_routing:llm_verifier|soft_warning:branch_b_non_computable;branch_b_context_or_exception_scope_problem,Do not flatten condition/exception logic into a computable leaf. Preserve evidence and mark partial or human_review.,,Condition/exception context changes clinical logic. This should not be auto-repaired by a simple leaf-level prompt.,A,P3_branch_a_mandatory_diagnostic_rescue_or_ablation,mandatory_llm_rescue_or_judge,condition_context_present_without_handling;exception_or_condition_clause_without_context_handling,,computability_partial;condition_context_present_without_handling;condition_or_exception_marker_without_context;entity_not_grounded_in_evidence_or_item;exception_or_condition_clause_without_context_handling;high_semantic:condition_context_present_without_handling;history_marker_without_history_context;layer1_inventory_flag;layer1_policy_mandatory_rescue_or_review;layer1d_pass1_pass2_logic_flag;no_bert_anchor;quantitative_cue_not_represented,review_priority,0.25,llm_verifier,reference_review_priority,0.4,reference_review_priority,0.35
A__NCT00917891_inc__item10_C1__A_main_llm_rescue__entity_regrounding,A,NCT00917891_inc__item10_C1,NCT00917891,NCT00917891_inc__item10,C1,A_status_or_review,25,branch_a_needs_rescue_but_branch_b_not_usable,entity_regrounding,1,0,0,0,0,0,0,1,0,branch_b_polarity_problem,"Fix entity only when the problem is explicit: not in evidence, generic, wrong type, or missing critical qualifier. Do not optimize only for shortest span.","Branch A has an explicit entity grounding/type problem, not just weak BERT support.","Branch A has an actionable issue, but the matching Branch B leaf is not locally usable as a substitute. Do not auto-apply substitution.",A,P3_branch_a_mandatory_diagnostic_rescue_or_ablation,mandatory_llm_rescue_or_judge,,,computability_non_computable;entity_not_grounded_in_evidence_or_item;entity_type_not_supported_by_best_anchor;history_marker_without_history_context;layer1_inventory_flag;layer1d_pass1_pass2_logic_flag;quantitative_cue_not_represented,review_priority,0.35,llm_verifier,reference_review_priority,0.5,reference_review_priority,0.35
A__NCT00917891_inc__item10_C2__A_main_llm_rescue__entity_regrounding,A,NCT00917891_inc__item10_C2,NCT00917891,NCT00917891_inc__item10,C2,A_status_or_review,25,branch_a_needs_rescue_but_branch_b_not_usable,entity_regrounding,1,0,0,0,0,0,0,1,0,branch_b_polarity_problem,"Fix entity only when the problem is explicit: not in evidence, generic, wrong type, or missing critical qualifier. Do not optimize only for shortest span.","Branch A has an explicit entity grounding/type problem, not just weak BERT support.","Branch A has an actionable issue, but the matching Branch B leaf is not locally usable as a substitute. Do not auto-apply substitution.",A,P3_branch_a_mandatory_diagnostic_rescue_or_ablation,mandatory_llm_rescue_or_judge,,,computability_non_computable;entity_not_grounded_in_evidence_or_item;entity_type_not_supported_by_best_anchor;history_marker_without_history_context;layer1_inventory_flag;layer1d_pass1_pass2_logic_flag;quantitative_cue_not_represented,review_priority,0.35,llm_verifier,reference_review_priority,0.45,reference_review_priority,0.35
A__NCT00917891_inc__item10_C3__A_main_llm_rescue__entity_regrounding,A,NCT00917891_inc__item10_C3,NCT00917891,NCT00917891_inc__item10,C3,A_status_or_review,25,branch_a_needs_rescue_but_branch_b_not_usable,entity_regrounding,1,0,0,0,0,0,0,1,0,branch_b_polarity_problem,"Fix entity only when the problem is explicit: not in evidence, generic, wrong type, or missing critical qualifier. Do not optimize only for shortest span.","Branch A has an explicit entity grounding/type problem, not just weak BERT support.","Branch A has an actionable issue, but the matching Branch B leaf is not locally usable as a substitute. Do not auto-apply substitution.",A,P3_branch_a_mandatory_diagnostic_rescue_or_ablation,mandatory_llm_rescue_or_judge,,,computability_non_computable;entity_not_grounded_in_evidence_or_item;layer1_inventory_flag;layer1d_pass1_pass2_logic_flag;no_bert_anchor,review_priority,0.25,llm_verifier,reference_review_priority,0.5,reference_review_priority,0.35
A__NCT00917891_inc__item10_C4__A_main_llm_rescue__entity_regrounding,A,NCT00917891_inc__item10_C4,NCT00917891,NCT00917891_inc__item10,C4,A_status_or_review,25,branch_a_needs_rescue_but_branch_b_not_usable,entity_regrounding,1,0,0,0,0,0,0,1,0,branch_b_polarity_problem,"Fix entity only when the problem is explicit: not in evidence, generic, wrong type, or missing critical qualifier. Do not optimize only for shortest span.","Branch A has an explicit entity grounding/type problem, not just weak BERT support.","Branch A has an actionable issue, but the matching Branch B leaf is not locally usable as a substitute. Do not auto-apply substitution.",A,P3_branch_a_mandatory_diagnostic_rescue_or_ablation,mandatory_llm_rescue_or_judge,,,computability_non_computable;entity_not_grounded_in_evidence_or_item;layer1_inventory_flag;layer1d_pass1_pass2_logic_flag;no_bert_anchor,review_priority,0.25,llm_verifier,reference_review_priority,0.45,reference_review_priority,0.35
