plan_id,branch_to_update,criterion_id,document_id,item_uid,clause_id,execution_group,execution_priority,rescue_strategy,rescue_task_type,include_A_current,include_B_current,allow_new_llm_candidate,max_llm_attempts,requires_llm,requires_reverification,safe_to_apply_without_llm,blocked_from_auto_apply,b_candidate_allowed,b_candidate_reason,selection_policy,why_selected,why_deferred_or_blocked,source_branch,source_run_stage,source_candidate_kind,source_issue_codes,source_risk_reasons,source_diagnosis_summary,branch_a_risk_label,branch_a_leaf_support,branch_b_final_routing_decision,branch_b_semantic_grounding_risk_label,branch_b_semantic_grounding_support,branch_b_execution_risk_label,branch_b_execution_support
A__NCT00319748_exc__item10_C1__A_deferred_diagnostic__branch_a_field_level_semantic_rescue,A,NCT00319748_exc__item10_C1,NCT00319748,NCT00319748_exc__item10,C1,A_deferred_diagnostic,90,defer_broad_or_duplicate_task,branch_a_field_level_semantic_rescue,1,0,0,0,0,0,0,1,1,branch_b_available_as_candidate_routing:optional_llm_verifier_or_review,Diagnostic only. Not part of main rescue execution.,,"This is a broad duplicate/semantic task, not a safe leaf-level rescue target.",A,P3_branch_a_mandatory_diagnostic_rescue_or_ablation,mandatory_llm_rescue_or_judge,critical_qualifier_missing_from_entity,,critical_qualifier_missing_from_entity;high_semantic:critical_qualifier_missing_from_entity;layer1_inventory_flag;layer1_policy_mandatory_rescue_or_review,review_priority,0.45,optional_llm_verifier_or_review,reference_review_priority,0.45,reference_high_support_not_auto_accept,0.9
A__NCT00319748_exc__item10_C2__A_deferred_diagnostic__branch_a_field_level_semantic_rescue,A,NCT00319748_exc__item10_C2,NCT00319748,NCT00319748_exc__item10,C2,A_deferred_diagnostic,90,defer_broad_or_duplicate_task,branch_a_field_level_semantic_rescue,1,0,0,0,0,0,0,1,1,branch_b_available_as_candidate_routing:optional_llm_verifier_or_review,Diagnostic only. Not part of main rescue execution.,,"This is a broad duplicate/semantic task, not a safe leaf-level rescue target.",A,P3_branch_a_mandatory_diagnostic_rescue_or_ablation,mandatory_llm_rescue_or_judge,critical_qualifier_missing_from_entity,,critical_qualifier_missing_from_entity;high_semantic:critical_qualifier_missing_from_entity;layer1_inventory_flag;layer1_policy_mandatory_rescue_or_review,review_priority,0.45,optional_llm_verifier_or_review,reference_review_priority,0.45,reference_high_support_not_auto_accept,0.9
A__NCT00319748_exc__item10_C3__A_deferred_diagnostic__branch_a_field_level_semantic_rescue,A,NCT00319748_exc__item10_C3,NCT00319748,NCT00319748_exc__item10,C3,A_deferred_diagnostic,90,defer_broad_or_duplicate_task,branch_a_field_level_semantic_rescue,1,0,0,0,0,0,0,1,1,branch_b_available_as_candidate_routing:computability_review,Diagnostic only. Not part of main rescue execution.,,"This is a broad duplicate/semantic task, not a safe leaf-level rescue target.",A,P3_branch_a_mandatory_diagnostic_rescue_or_ablation,mandatory_llm_rescue_or_judge,critical_qualifier_missing_from_entity,,critical_qualifier_missing_from_entity;high_semantic:critical_qualifier_missing_from_entity;layer1_policy_mandatory_rescue_or_review,review_priority,0.45,computability_review,reference_high_support_not_auto_accept,0.9,reference_intermediate_support,0.6
A__NCT00319748_exc__item13_C1__A_deferred_diagnostic__branch_a_field_level_semantic_rescue,A,NCT00319748_exc__item13_C1,NCT00319748,NCT00319748_exc__item13,C1,A_deferred_diagnostic,90,defer_broad_or_duplicate_task,branch_a_field_level_semantic_rescue,1,0,0,0,0,0,0,1,1,branch_b_available_as_candidate_routing:computability_review,Diagnostic only. Not part of main rescue execution.,,"This is a broad duplicate/semantic task, not a safe leaf-level rescue target.",A,P3_branch_a_mandatory_diagnostic_rescue_or_ablation,mandatory_llm_rescue_or_judge,critical_qualifier_missing_from_entity,,critical_qualifier_missing_from_entity;high_semantic:critical_qualifier_missing_from_entity;layer1_policy_mandatory_rescue_or_review,review_priority,0.45,computability_review,reference_high_support_not_auto_accept,0.95,reference_intermediate_support,0.6
A__NCT00319748_exc__item14_C1__A_deferred_diagnostic__branch_a_field_level_semantic_rescue,A,NCT00319748_exc__item14_C1,NCT00319748,NCT00319748_exc__item14,C1,A_deferred_diagnostic,90,defer_broad_or_duplicate_task,branch_a_field_level_semantic_rescue,1,0,0,0,0,0,0,1,1,branch_b_available_as_candidate_routing:keep_without_layer2_action,Diagnostic only. Not part of main rescue execution.,,"This is a broad duplicate/semantic task, not a safe leaf-level rescue target.",A,P3_branch_a_mandatory_diagnostic_rescue_or_ablation,mandatory_llm_rescue_or_judge,critical_qualifier_missing_from_entity,,critical_qualifier_missing_from_entity;high_semantic:critical_qualifier_missing_from_entity;layer1_policy_mandatory_rescue_or_review,review_priority,0.45,keep_without_layer2_action,reference_high_support_not_auto_accept,0.95,reference_high_support_not_auto_accept,1.0
A__NCT00319748_exc__item14_C2__A_deferred_diagnostic__entity_regrounding,A,NCT00319748_exc__item14_C2,NCT00319748,NCT00319748_exc__item14,C2,A_deferred_diagnostic,80,defer_no_bert_anchor_only,entity_regrounding,1,1,0,0,0,0,0,1,1,branch_b_available_as_candidate_routing:computability_review,Do not rescue based only on missing BERT anchor. Use as uncertainty flag.,,"The only clear problem is no_bert_anchor. That is uncertainty, not enough evidence for automatic LLM rescue.",A,P3_branch_a_mandatory_diagnostic_rescue_or_ablation,mandatory_llm_rescue_or_judge,,,computability_partial;entity_not_in_leaf_evidence_but_in_item;no_bert_anchor,review_priority,0.5,computability_review,reference_high_support_not_auto_accept,0.85,reference_intermediate_support,0.6
A__NCT00319748_exc__item17_C2__A_deferred_diagnostic__branch_a_field_level_semantic_rescue,A,NCT00319748_exc__item17_C2,NCT00319748,NCT00319748_exc__item17,C2,A_deferred_diagnostic,90,defer_broad_or_duplicate_task,branch_a_field_level_semantic_rescue,1,0,0,0,0,0,0,1,1,branch_b_available_as_candidate_routing:computability_review,Diagnostic only. Not part of main rescue execution.,,"This is a broad duplicate/semantic task, not a safe leaf-level rescue target.",A,P3_branch_a_mandatory_diagnostic_rescue_or_ablation,mandatory_llm_rescue_or_judge,critical_qualifier_missing_from_entity,,critical_qualifier_missing_from_entity;high_semantic:critical_qualifier_missing_from_entity;layer1_policy_mandatory_rescue_or_review,review_priority,0.45,computability_review,reference_high_support_not_auto_accept,0.95,reference_intermediate_support,0.6
A__NCT00319748_exc__item3_C1__A_deferred_diagnostic__entity_regrounding,A,NCT00319748_exc__item3_C1,NCT00319748,NCT00319748_exc__item3,C1,A_deferred_diagnostic,80,defer_no_bert_anchor_only,entity_regrounding,1,1,0,0,0,0,0,1,1,branch_b_available_as_candidate_routing:computability_review,Do not rescue based only on missing BERT anchor. Use as uncertainty flag.,,"The only clear problem is no_bert_anchor. That is uncertainty, not enough evidence for automatic LLM rescue.",A,P3_branch_a_mandatory_diagnostic_rescue_or_ablation,mandatory_llm_rescue_or_judge,,,no_bert_anchor;quantitative_cue_not_represented,review_priority,0.35,computability_review,reference_high_support_not_auto_accept,0.9,reference_intermediate_support,0.6
A__NCT00319748_inc__item11_C1__A_deferred_diagnostic__branch_a_field_level_semantic_rescue,A,NCT00319748_inc__item11_C1,NCT00319748,NCT00319748_inc__item11,C1,A_deferred_diagnostic,90,defer_broad_or_duplicate_task,branch_a_field_level_semantic_rescue,1,0,0,0,0,0,0,1,1,branch_b_available_as_candidate_routing:llm_verifier,Diagnostic only. Not part of main rescue execution.,,"This is a broad duplicate/semantic task, not a safe leaf-level rescue target.",A,P4_branch_a_optional_diagnostic_rescue,optional_llm_rescue_or_review,,,layer1_inventory_flag,intermediate_support,0.65,llm_verifier,reference_review_priority,0.45,reference_intermediate_support,0.6
A__NCT00319748_inc__item11_C2__A_deferred_diagnostic__entity_regrounding,A,NCT00319748_inc__item11_C2,NCT00319748,NCT00319748_inc__item11,C2,A_deferred_diagnostic,80,defer_no_bert_anchor_only,entity_regrounding,1,1,0,0,0,0,0,1,1,branch_b_available_as_candidate_routing:llm_verifier,Do not rescue based only on missing BERT anchor. Use as uncertainty flag.,,"The only clear problem is no_bert_anchor. That is uncertainty, not enough evidence for automatic LLM rescue.",A,P3_branch_a_mandatory_diagnostic_rescue_or_ablation,mandatory_llm_rescue_or_judge,comparison_with_non_quantitative_entity,,comparison_with_non_quantitative_entity;high_semantic:comparison_with_non_quantitative_entity;layer1_inventory_flag;layer1_policy_mandatory_rescue_or_review;no_bert_anchor;operator_value_supported_but_value_not_found_in_evidence,review_priority,0.45,llm_verifier,reference_review_priority,0.4,reference_intermediate_support,0.6
