branch,document_id,issue_type,criterion_id,paths,layer1b_action_category,detail
A_bert_rules,NCT03416413,duplicate_identical_leaf,,inclusion_criteria.children[1].children[0];inclusion_criteria.children[1].children[1],flag_only,Two or more leaves have identical structured content.
A_bert_rules,NCT02121145,duplicate_identical_leaf,,inclusion_criteria.children[3].children[0];inclusion_criteria.children[3].children[1],flag_only,Two or more leaves have identical structured content.
A_bert_rules,NCT02121145,duplicate_identical_leaf,,exclusion_criteria.children[1].children[1];exclusion_criteria.children[1].children[2],flag_only,Two or more leaves have identical structured content.
A_bert_rules,NCT02121145,duplicate_identical_leaf,,exclusion_criteria.children[5].children[0];exclusion_criteria.children[5].children[1],flag_only,Two or more leaves have identical structured content.
A_bert_rules,NCT02243553,duplicate_identical_leaf,,exclusion_criteria.children[0].children[0];exclusion_criteria.children[0].children[1];exclusion_criteria.children[0].children[2];exclusion_criteria.children[0].children[3];exclusion_criteria.children[0].children[4];exclusion_criteria.children[0].children[5];exclusion_criteria.children[0].children[6];exclusion_criteria.children[0].children[7],flag_only,Two or more leaves have identical structured content.
A_bert_rules,NCT02243553,duplicate_identical_leaf,,exclusion_criteria.children[5].children[0];exclusion_criteria.children[5].children[1];exclusion_criteria.children[5].children[2];exclusion_criteria.children[5].children[3];exclusion_criteria.children[5].children[4];exclusion_criteria.children[5].children[5];exclusion_criteria.children[5].children[6];exclusion_criteria.children[5].children[7];exclusion_criteria.children[5].children[8],flag_only,Two or more leaves have identical structured content.
A_bert_rules,NCT02243553,duplicate_identical_leaf,,exclusion_criteria.children[8].children[0];exclusion_criteria.children[8].children[1],flag_only,Two or more leaves have identical structured content.
A_bert_rules,NCT02243553,duplicate_identical_leaf,,exclusion_criteria.children[11].children[0];exclusion_criteria.children[11].children[1];exclusion_criteria.children[11].children[2];exclusion_criteria.children[11].children[3];exclusion_criteria.children[11].children[4];exclusion_criteria.children[11].children[5];exclusion_criteria.children[11].children[6];exclusion_criteria.children[11].children[7];exclusion_criteria.children[11].children[8],flag_only,Two or more leaves have identical structured content.
A_bert_rules,NCT02243553,duplicate_identical_leaf,,exclusion_criteria.children[13].children[2];exclusion_criteria.children[13].children[3],flag_only,Two or more leaves have identical structured content.
A_bert_rules,NCT02243553,duplicate_identical_leaf,,exclusion_criteria.children[14].children[0];exclusion_criteria.children[14].children[1],flag_only,Two or more leaves have identical structured content.
