document_id,criterion_id,branch,leaf_path,node_type,eligibility_type,status,entity_type,entity_text,operator,value,unit,value_type,evidence_text,item_text,source_text,layer1_needs_review,layer1_issue_count,layer1_issue_codes_json,layer1_policy_action_hint,layer1_policy_bucket,layer1_policy_severity,layer1_policy_reasons,layer1_policy_score,layer1_policy_hard_issue_count,layer1_policy_soft_warning_count,layer1_policy_execution_issue_count,branch_a_match_found,branch_a_entity_type,branch_a_entity_text,branch_a_operator,branch_a_value,branch_a_unit,branch_a_entity_type_agrees,branch_a_operator_agrees,branch_a_value_agrees,branch_a_unit_agrees,branch_a_entity_text_token_overlap,branch_a_agreement_n,entity_text_exact_in_evidence,entity_text_ci_in_evidence,entity_text_normalized_in_evidence,entity_text_exact_in_item,entity_text_ci_in_item,value_text_found_in_evidence,value_text_found_in_item,unit_text_found_in_evidence,operator_value_structurally_supported,quantitative_cue_present,quantitative_cue_unhandled,exists_with_quantitative_cue,value_missing_with_quantitative_cue,temporal_marker_in_evidence,temporal_context_present,temporal_marker_missing_context,history_marker_in_evidence,history_context_present,history_marker_missing_context,condition_or_exception_marker_in_evidence,condition_or_exception_context_present,condition_or_exception_marker_missing_context,generic_entity_text,temporal_context_json,history_context_json,condition_context,exception_context,computability,layer1_needs_llm_rescue_candidate,missing_pass2_clause_context,value_text
NCT03416413,NCT03416413_inc__item1_C1,B_llm_pass2,rules_v3_ast.inclusion_criteria.children[0],criterion,,,demographic,Age,>,18,year,scalar,Adults over 18 years of age,Adults over 18 years of age,Adults over 18 years of age,0,0,[],continue_to_layer2,no_layer1_issue,none,,0.0,0,0,0,1,demographic,adults over 18 years of age,exists,,,1,0,0,0,0.166667,1,0,1,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,computable,0,0,18
NCT03416413,NCT03416413_inc__item2_C1,B_llm_pass2,rules_v3_ast.inclusion_criteria.children[1].children[0],criterion,,,condition,symptomatic GSV vein reflux,>,0.5,second,scalar,Symptomatic GSV or SSV vein reflux > 0.5 seconds on colour Duplex,Symptomatic GSV or SSV vein reflux > 0.5 seconds on colour Duplex,Symptomatic GSV or SSV vein reflux > 0.5 seconds on colour Duplex,1,1,"[""layer1c:comparison_with_non_quantitative_entity""]",continue_to_layer2_grounding_screen,soft_semantic_warning,low_to_medium,soft_semantic:comparison_with_non_quantitative_entity,0.4,0,1,0,1,condition,GSV or SSV vein reflux,>,,seconds,1,1,0,0,0.5,3,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,,current,,,partial,0,0,0.5
NCT03416413,NCT03416413_inc__item2_C2,B_llm_pass2,rules_v3_ast.inclusion_criteria.children[1].children[1],criterion,,,condition,symptomatic SSV vein reflux,>,0.5,second,scalar,Symptomatic GSV or SSV vein reflux > 0.5 seconds on colour Duplex,Symptomatic GSV or SSV vein reflux > 0.5 seconds on colour Duplex,Symptomatic GSV or SSV vein reflux > 0.5 seconds on colour Duplex,1,1,"[""layer1c:comparison_with_non_quantitative_entity""]",continue_to_layer2_grounding_screen,soft_semantic_warning,low_to_medium,soft_semantic:comparison_with_non_quantitative_entity,0.4,0,1,0,1,condition,GSV or SSV vein reflux,>,,seconds,1,1,0,0,0.5,3,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,,current,,,partial,0,0,0.5
NCT03416413,NCT03416413_inc__item3_C1,B_llm_pass2,rules_v3_ast.inclusion_criteria.children[2],criterion,,,condition,varicose vein tributary requiring treatment,exists,,,null,Varicose vein tributary requiring treatment,Varicose vein tributary requiring treatment,Varicose vein tributary requiring treatment,0,0,[],continue_to_layer2,no_layer1_issue,none,,0.0,0,0,0,1,procedure,treatment,exists,,,0,1,1,1,0.2,3,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,,current,,,partial,0,0,
NCT03416413,NCT03416413_exc__item1_C1,B_llm_pass2,rules_v3_ast.exclusion_criteria.children[0],criterion,,,condition,deep vein thrombosis (DVT),exists,,,null,Current DVT,Current DVT,Current DVT,0,0,[],continue_to_layer2,no_layer1_issue,none,,0.0,0,0,0,1,procedure,DVT,exists,,,0,1,1,1,0.25,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,current,,,computable,0,0,
NCT03416413,NCT03416413_exc__item2_C1,B_llm_pass2,rules_v3_ast.exclusion_criteria.children[1],criterion,,,condition,recurrent varicose veins,exists,,,null,Recurrent varicose veins,Recurrent varicose veins,Recurrent varicose veins,0,0,[],continue_to_layer2,no_layer1_issue,none,,0.0,0,0,0,1,condition,varicose veins,exists,,,1,1,1,1,0.666667,5,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,,current,,,computable,0,0,
NCT03416413,NCT03416413_exc__item3_C1,B_llm_pass2,rules_v3_ast.exclusion_criteria.children[2],criterion,,,lab,ABPI,<,0.8,,scalar,Arterial disease (ABPI<0.8),Arterial disease (ABPI<0.8),Arterial disease (ABPI<0.8),0,0,[],continue_to_layer2,no_layer1_issue,none,,0.0,0,0,0,1,lab,ABPI,<,,,1,1,0,1,1.0,4,1,1,1,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,computable,0,0,0.8
NCT03416413,NCT03416413_exc__item4_C1,B_llm_pass2,rules_v3_ast.exclusion_criteria.children[3],criterion,,,observation,Vein diameter,<,3,mm,scalar,Vein diameter < 3mm,Vein diameter < 3mm,Vein diameter < 3mm,0,0,[],continue_to_layer2,no_layer1_issue,none,,0.0,0,0,0,1,lab,Vein diameter,<,,mm,0,1,0,1,1.0,3,1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,computable,0,0,3
NCT03416413,NCT03416413_exc__item5_C1,B_llm_pass2,rules_v3_ast.exclusion_criteria.children[4],criterion,,,other,preference for one of the treatment options,exists,,,null,Preference for one of the treatment options,Preference for one of the treatment options,Preference for one of the treatment options,0,0,[],continue_to_layer2,no_layer1_issue,none,,0.0,0,0,0,1,other,preference for one of the treatment options,exists,,,1,1,1,1,1.0,5,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,non_computable,0,0,
NCT03416413,NCT03416413_exc__item6_C1,B_llm_pass2,rules_v3_ast.exclusion_criteria.children[5],criterion,,,other,unwilling to participate,exists,,,null,Patient who are unwilling to participate,Patient who are unwilling to participate,Patient who are unwilling to participate,0,0,[],continue_to_layer2,no_layer1_issue,none,,0.0,0,0,0,1,other,patient is unwilling to participate,exists,,,1,1,1,1,0.6,5,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,non_computable,0,0,
