dataset,branch,source_ast_file,document_id,criterion_type,item_uid,clause_id,criterion_id,tree_path,entity_type,entity_text,operator,value_type,value_json,unit,computability,non_computable_reason,evidence_text,clause_text,item_text,n_bert_anchors,n_bert_supports,best_anchor_text,best_anchor_label,best_anchor_score,best_anchor_start,best_anchor_end,best_anchor_mapped_entity_type,has_bert_anchor,entity_type_matches_best_anchor,entity_text_exact_in_evidence,entity_text_ci_in_evidence,entity_text_exact_in_item,entity_text_ci_in_item,entity_text_overlaps_best_anchor,best_anchor_token_overlap,any_anchor_token_overlap,entity_text_token_overlaps_best_anchor,entity_text_token_overlaps_any_anchor,entity_text_equals_best_anchor_text,entity_text_contains_best_anchor_text,best_anchor_text_contains_entity_text,support_labels_json,n_qualifier_supports,n_value_supports,n_temporal_supports,n_negation_supports,operator_category,operator_requires_value,scalar_value_present,range_has_min,range_has_max,range_has_any_bound,list_value_present,operator_value_structurally_supported,unit_present,value_text_found_in_evidence,unit_text_found_in_evidence,temporal_marker_in_evidence,temporal_context_present,temporal_relation,temporal_value_present,temporal_unit_present,temporal_anchor_event,temporal_marker_missing_context,history_marker_in_evidence,history_context_present,history_context,history_marker_missing_context,condition_marker_in_evidence,exception_marker_in_evidence,condition_context_present,exception_context_present,condition_marker_missing_context,exception_marker_missing_context,condition_or_exception_missing_context,computable_with_unhandled_condition_or_exception,provenance_present,source_modifier_text,source_condition_text,source_exception_context,history_context_hint,critical_qualifier_in_evidence,generic_entity_text,layer1_issue_count,layer1_issue_codes,layer1_issue_sources,layer1_policy_action_hint,layer1_policy_bucket,layer1_policy_severity,layer1_policy_score,layer1_policy_hard_issue_count,layer1_policy_execution_issue_count,has_layer1_inventory_issue,has_layer1_policy_issue,has_layer1d_issue,quantitative_cue_in_evidence,exists_with_quantitative_cue,value_missing_with_quantitative_cue,quantitative_cue_unhandled
CHIA,A_bert_rules,chia_text_only_200_rules_v3_ast_A.jsonl,NCT03416413,inclusion,NCT03416413_inc__item1,C1,NCT03416413_inc__item1_C1,inclusion_criteria/AND[0],demographic,adults over 18 years of age,exists,null,null,,computable,,Adults over 18 years of age,adults over 18 years of age,Adults over 18 years of age,0,2,,,,,,,0,0,0,1,0,1,0,0.0,0.0,0,0,0,0,0,"{""Person"": 1, ""Value"": 1}",0,1,0,0,existence,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,continue_to_layer2,no_layer1_issue,none,0.0,0,0,0,0,0,1,1,0,1
CHIA,A_bert_rules,chia_text_only_200_rules_v3_ast_A.jsonl,NCT03416413,inclusion,NCT03416413_inc__item2,C1,NCT03416413_inc__item2_C1,inclusion_criteria/AND[1]/OR[0],condition,GSV or SSV vein reflux,>,scalar,0.5,seconds,computable,,Symptomatic GSV or SSV vein reflux > 0.5 seconds on colour Duplex,symptomatic GSV vein reflux > 0.5 seconds on colour Duplex,Symptomatic GSV or SSV vein reflux > 0.5 seconds on colour Duplex,2,2,GSV or SSV vein reflux,Condition,0.889015,12,34,condition,1,1,1,1,1,1,1,1.0,1.0,1,1,1,1,1,"{""Qualifier"": 2}",2,0,0,0,comparison,1,1,0,0,0,0,1,1,1,1,0,0,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,1,Symptomatic | > 0.5 seconds,,,,1,0,4,comparison_with_non_quantitative_entity|layer1b:duplicate_identical_leaf|layer1c:comparison_with_non_quantitative_entity|policy:mandatory_rescue_or_review_candidate,layer1_inventory|layer1_policy_branch_a,mandatory_rescue_or_review_candidate,hard_or_semantic_layer1_issue,high,1.0,1,0,1,1,0,1,0,0,0
CHIA,A_bert_rules,chia_text_only_200_rules_v3_ast_A.jsonl,NCT03416413,inclusion,NCT03416413_inc__item2,C2,NCT03416413_inc__item2_C2,inclusion_criteria/AND[1]/OR[1],condition,GSV or SSV vein reflux,>,scalar,0.5,seconds,computable,,Symptomatic GSV or SSV vein reflux > 0.5 seconds on colour Duplex,symptomatic SSV vein reflux > 0.5 seconds on colour Duplex,Symptomatic GSV or SSV vein reflux > 0.5 seconds on colour Duplex,2,2,GSV or SSV vein reflux,Condition,0.889015,12,34,condition,1,1,1,1,1,1,1,1.0,1.0,1,1,1,1,1,"{""Qualifier"": 2}",2,0,0,0,comparison,1,1,0,0,0,0,1,1,1,1,0,0,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,1,Symptomatic | > 0.5 seconds,,,,1,0,4,comparison_with_non_quantitative_entity|layer1b:duplicate_identical_leaf|layer1c:comparison_with_non_quantitative_entity|policy:mandatory_rescue_or_review_candidate,layer1_inventory|layer1_policy_branch_a,mandatory_rescue_or_review_candidate,hard_or_semantic_layer1_issue,high,1.0,1,0,1,1,0,1,0,0,0
CHIA,A_bert_rules,chia_text_only_200_rules_v3_ast_A.jsonl,NCT03416413,inclusion,NCT03416413_inc__item3,C1,NCT03416413_inc__item3_C1,inclusion_criteria/AND[2],procedure,treatment,exists,null,null,,computable,,Varicose vein tributary requiring treatment,varicose vein tributary requiring treatment,Varicose vein tributary requiring treatment,1,2,treatment,Procedure,0.947504,34,43,procedure,1,1,1,1,1,1,1,1.0,1.0,1,1,1,1,1,"{""Mood"": 1, ""Qualifier"": 1}",1,0,0,0,existence,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,1,Varicose vein tributary,,,,0,1,2,layer1c:requirement_object_inversion|policy:mandatory_rescue_or_review_candidate,layer1_policy_branch_a,mandatory_rescue_or_review_candidate,hard_or_semantic_layer1_issue,high,1.0,1,0,0,1,0,0,0,0,0
CHIA,A_bert_rules,chia_text_only_200_rules_v3_ast_A.jsonl,NCT03416413,exclusion,NCT03416413_exc__item1,C1,NCT03416413_exc__item1_C1,exclusion_criteria/OR[0],procedure,DVT,exists,null,null,,computable,,Current DVT,current DVT,Current DVT,0,1,,,,,,,0,0,1,1,1,1,0,0.0,0.0,0,0,0,0,0,"{""Temporal"": 1}",0,0,1,0,existence,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,,0,1,1,current,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,continue_to_layer2,no_layer1_issue,none,0.0,0,0,0,0,0,0,0,0,0
CHIA,A_bert_rules,chia_text_only_200_rules_v3_ast_A.jsonl,NCT03416413,exclusion,NCT03416413_exc__item2,C1,NCT03416413_exc__item2_C1,exclusion_criteria/OR[1],condition,varicose veins,exists,null,null,,computable,,Recurrent varicose veins,recurrent varicose veins,Recurrent varicose veins,1,1,varicose veins,Condition,0.996336,10,24,condition,1,1,1,1,1,1,1,1.0,1.0,1,1,1,1,1,"{""Multiplier"": 1}",0,0,0,0,existence,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,,0,1,1,current,0,0,0,0,0,0,0,0,0,0,,,,,1,0,0,,,continue_to_layer2,no_layer1_issue,none,0.0,0,0,0,0,0,0,0,0,0
CHIA,A_bert_rules,chia_text_only_200_rules_v3_ast_A.jsonl,NCT03416413,exclusion,NCT03416413_exc__item3,C1,NCT03416413_exc__item3_C1,exclusion_criteria/OR[2],lab,ABPI,<,scalar,0.8,,computable,,Arterial disease (ABPI<0.8),arterial disease (ABPI<0.8),Arterial disease (ABPI<0.8),2,1,ABPI,Measurement,0.996741,18,22,lab,1,1,1,1,1,1,1,1.0,1.0,1,1,1,1,1,"{""Value"": 1}",0,1,0,0,comparison,1,1,0,0,0,0,1,0,1,0,0,0,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,continue_to_layer2,no_layer1_issue,none,0.0,0,0,0,0,0,1,0,0,0
CHIA,A_bert_rules,chia_text_only_200_rules_v3_ast_A.jsonl,NCT03416413,exclusion,NCT03416413_exc__item4,C1,NCT03416413_exc__item4_C1,exclusion_criteria/OR[3],lab,Vein diameter,<,scalar,3,mm,computable,,Vein diameter < 3mm,Vein diameter < 3mm,Vein diameter < 3mm,1,1,Vein diameter,Measurement,0.994964,0,13,lab,1,1,1,1,1,1,1,1.0,1.0,1,1,1,1,1,"{""Value"": 1}",0,1,0,0,comparison,1,1,0,0,0,0,1,1,1,1,0,0,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,continue_to_layer2,no_layer1_issue,none,0.0,0,0,0,0,0,1,0,0,0
CHIA,A_bert_rules,chia_text_only_200_rules_v3_ast_A.jsonl,NCT03416413,exclusion,NCT03416413_exc__item5,C1,NCT03416413_exc__item5_C1,exclusion_criteria/OR[4],other,preference for one of the treatment options,exists,null,null,,non_computable,Subjective or operational criterion.,Preference for one of the treatment options,preference for one of the treatment options,Preference for one of the treatment options,0,0,,,,,,,0,0,0,1,0,1,0,0.0,0.0,0,0,0,0,0,{},0,0,0,0,existence,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,continue_to_layer2,no_layer1_issue,none,0.0,0,0,0,0,0,0,0,0,0
CHIA,A_bert_rules,chia_text_only_200_rules_v3_ast_A.jsonl,NCT03416413,exclusion,NCT03416413_exc__item6,C1,NCT03416413_exc__item6_C1,exclusion_criteria/OR[5],other,patient is unwilling to participate,exists,null,null,,non_computable,Subjective or operational criterion.,Patient who are unwilling to participate,patient is unwilling to participate,Patient who are unwilling to participate,0,0,,,,,,,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0,0,{},0,0,0,0,existence,0,0,0,0,0,0,1,0,0,0,0,0,,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,,,continue_to_layer2,no_layer1_issue,none,0.0,0,0,0,0,0,0,0,0,0
