review_id,document_id,chia_id,item_uid,item_index,criterion_type,stratum,item_text,clause_id,clause_text,evidence_text,is_negated,connector_to_next,quantifier,A_leaf,B_leaf,manual_A_leaf_label,manual_B_leaf_label,manual_best_branch_A_B,manual_A_issue_type,manual_B_issue_type,manual_notes
I00001,NCT00319748,NCT00319748_inc,NCT00319748_inc__item1,1,inclusion,simple,Adequate performance status:,C1,adequate performance status,Adequate performance status:,FALSE,,,entity_type=lab | entity=performance status | operator=exists | value_type=null | value= | unit=None | temporal= | history=None | computability=computable | reason=,"entity_type=observation | entity=performance status | operator=exists | value_type=null | value= | unit=None | temporal= | history=current | computability=partial | reason=Performance status scale and threshold for 'adequate' (e.g., ECOG/Karnofsky) not specified.",partial,partial,tie,missing_threshold; bad_entity_type,missing_threshold,"Both miss that 'adequate' requires a threshold (e.g., ECOG ?1); A mislabels as lab"
I00002,NCT00319748,NCT00319748_inc,NCT00319748_inc__item2,2,inclusion,simple,Breast - Karnofsky score > 50;,C1,Karnofsky score > 50,Karnofsky score > 50,FALSE,,,entity_type=lab | entity=Breast - Karnofsky score | operator=> | value_type=scalar | value=50 | unit=None | temporal= | history=None | computability=computable | reason=,entity_type=observation | entity=Karnofsky score | operator=> | value_type=scalar | value=50 | unit=None | temporal= | history=current | computability=computable | reason=,incorrect,correct,B,wrong_entity,,A adds unsupported 'Breast -' to entity; B correct
I00003,NCT00319748,NCT00319748_inc,NCT00319748_inc__item3,3,inclusion,multi_clause,"Ovarian, endometrial or cervical - Gynecologic Oncology Group (GOG) performance score ≤2",C1,ovarian cancer,"Ovarian, endometrial or cervical",FALSE,OR,,"entity_type=lab | entity=Ovarian, endometrial or cervical - Gynecologic Oncology Group (GOG) performance score | operator=exists | value_type=null | value= | unit=None | temporal= | history=None | computability=computable | reason=",entity_type=condition | entity=ovarian cancer | operator=exists | value_type=null | value= | unit=None | temporal= | history=current | computability=computable | reason=,incorrect,correct,B,wrong_entity,,A extracts GOG score instead of ovarian cancer; B correct
I00003,NCT00319748,NCT00319748_inc,NCT00319748_inc__item3,3,inclusion,multi_clause,"Ovarian, endometrial or cervical - Gynecologic Oncology Group (GOG) performance score ≤2",C2,endometrial cancer,"Ovarian, endometrial or cervical",FALSE,OR,,"entity_type=lab | entity=Ovarian, endometrial or cervical - Gynecologic Oncology Group (GOG) performance score | operator=exists | value_type=null | value= | unit=None | temporal= | history=None | computability=computable | reason=",entity_type=condition | entity=endometrial cancer | operator=exists | value_type=null | value= | unit=None | temporal= | history=current | computability=computable | reason=,incorrect,correct,B,wrong_entity,,A extracts GOG score instead of endometrial cancer; B correct
I00003,NCT00319748,NCT00319748_inc,NCT00319748_inc__item3,3,inclusion,multi_clause,"Ovarian, endometrial or cervical - Gynecologic Oncology Group (GOG) performance score ≤2",C3,cervical cancer,"Ovarian, endometrial or cervical",FALSE,AND,,"entity_type=lab | entity=Ovarian, endometrial or cervical - Gynecologic Oncology Group (GOG) performance score | operator=exists | value_type=null | value= | unit=None | temporal= | history=None | computability=computable | reason=",entity_type=condition | entity=cervical cancer | operator=exists | value_type=null | value= | unit=None | temporal= | history=current | computability=computable | reason=,incorrect,correct,B,wrong_entity,,A extracts GOG score instead of cervical cancer; B correct
I00003,NCT00319748,NCT00319748_inc,NCT00319748_inc__item3,3,inclusion,multi_clause,"Ovarian, endometrial or cervical - Gynecologic Oncology Group (GOG) performance score ≤2",C4,Gynecologic Oncology Group (GOG) performance score ≤2,Gynecologic Oncology Group (GOG) performance score ≤2,FALSE,,,"entity_type=lab | entity=Ovarian, endometrial or cervical - Gynecologic Oncology Group (GOG) performance score | operator=exists | value_type=null | value= | unit=None | temporal= | history=None | computability=computable | reason=",entity_type=observation | entity=Gynecologic Oncology Group (GOG) performance score | operator=<= | value_type=scalar | value=2 | unit=None | temporal= | history=current | computability=computable | reason=,incorrect,correct,B,wrong_operator; wrong_entity,,A uses exists instead of <= and wrong entity; B correct
I00004,NCT00319748,NCT00319748_inc,NCT00319748_inc__item4,4,inclusion,temporal,"If female and of childbearing potential, are willing to use adequate contraception (hormonal, barrier method, abstinence) prior to study entry and for the duration of study participation.",C1,female,If female and of childbearing potential,FALSE,AND,,entity_type=condition | entity=childbearing potential | operator=exists | value_type=null | value= | unit=None | temporal= | history=None | computability=computable | reason=,"entity_type=demographic | entity=female | operator== | value_type=scalar | value=""female"" | unit=None | temporal= | history=current | computability=computable | reason=",incorrect,correct,B,wrong_entity,,A extracts childbearing potential instead of female; B correct
I00004,NCT00319748,NCT00319748_inc,NCT00319748_inc__item4,4,inclusion,temporal,"If female and of childbearing potential, are willing to use adequate contraception (hormonal, barrier method, abstinence) prior to study entry and for the duration of study participation.",C2,of childbearing potential,If female and of childbearing potential,FALSE,AND,,entity_type=condition | entity=childbearing potential | operator=exists | value_type=null | value= | unit=None | temporal= | history=None | computability=computable | reason=,"entity_type=demographic | entity=of childbearing potential | operator=exists | value_type=null | value= | unit=None | temporal= | history=current | computability=partial | reason=Childbearing potential is not a single standardized patient-level field and may require clinical judgment (e.g., menopausal status, sterilization).",correct,correct,tie,,Both capture 'of childbearing potential' correctly,
I00004,NCT00319748,NCT00319748_inc,NCT00319748_inc__item4,4,inclusion,temporal,"If female and of childbearing potential, are willing to use adequate contraception (hormonal, barrier method, abstinence) prior to study entry and for the duration of study participation.",C3,willing to use adequate contraception prior to study entry,"are willing to use adequate contraception (hormonal, barrier method, abstinence) prior to study entry",FALSE,AND,,"entity_type=other | entity=willing to use adequate contraception prior to study entry | operator=exists | value_type=null | value= | unit=None | temporal={""relation"": ""before"", ""value"": null, ""unit"": null, ""anchor_event"": ""baseline""} | history=None | computability=non_computable | reason=Subjective or operational criterion.","entity_type=observation | entity=willing to use adequate contraception (hormonal, barrier method, abstinence) | operator=exists | value_type=null | value= | unit=None | temporal={""relation"": ""before"", ""value"": null, ""unit"": null, ""anchor_event"": ""treatment_start""} | history=None | computability=non_computable | reason=Willingness to use contraception is a consent/behavioral requirement not reliably captured as structured clinical data.",correct,correct,tie,,Both correctly mark non_computable willingness,
I00004,NCT00319748,NCT00319748_inc,NCT00319748_inc__item4,4,inclusion,temporal,"If female and of childbearing potential, are willing to use adequate contraception (hormonal, barrier method, abstinence) prior to study entry and for the duration of study participation.",C4,willing to use adequate contraception for the duration of study participation,and for the duration of study participation,FALSE,,,entity_type=other | entity=willing to use adequate contraception for the duration of study participation | operator=exists | value_type=null | value= | unit=None | temporal= | history=None | computability=non_computable | reason=Subjective or operational criterion.,"entity_type=observation | entity=willing to use adequate contraception for the duration of study participation | operator=exists | value_type=null | value= | unit=None | temporal={""relation"": ""during"", ""value"": null, ""unit"": null, ""anchor_event"": ""other""} | history=None | computability=non_computable | reason=Willingness/commitment to use contraception during study participation is not reliably computable from patient clinical records.",partial,correct,B,missing_temporal_context,,A loses 'for the duration'; B captures 'during'
I00005,NCT00319748,NCT00319748_inc,NCT00319748_inc__item5,5,inclusion,temporal,Normal organ function within 14 days of study entry,C1,normal organ function within 14 days of study entry,Normal organ function within 14 days of study entry,FALSE,,,"entity_type=condition | entity=Normal organ function | operator=exists | value_type=null | value= | unit=None | temporal={""relation"": ""within"", ""value"": 14, ""unit"": ""day"", ""anchor_event"": ""baseline""} | history=None | computability=computable | reason=","entity_type=observation | entity=normal organ function | operator=exists | value_type=null | value= | unit=None | temporal={""relation"": ""within"", ""value"": 14, ""unit"": ""day"", ""anchor_event"": ""treatment_start""} | history=current | computability=partial | reason=Organ function is not specified by measurable labs or thresholds.",partial,partial,tie,missing_threshold,missing_threshold,Both lack definition of 'normal organ function'
