document_id,criterion_id,branch,leaf_path,eligibility_type,entity_type,entity_text,operator,value_type,value,unit,computability,evidence_text,item_text,entity_source_support,value_source_support,unit_source_support,operator_value_support,quantitative_representation_support,temporal_context_support,history_context_support,condition_exception_context_support,layer1_semantic_support,semantic_grounding_support,semantic_grounding_risk_score,semantic_grounding_risk_label,semantic_grounding_reasons,semantic_bottleneck_components,computability_support,layer1_execution_support,execution_support,execution_risk_score,execution_risk_label,execution_reasons,execution_bottleneck_components,final_routing_decision,llm_verifier_candidate,computability_review_candidate,routing_reasons,layer1_issue_count,layer1_needs_review,layer1_needs_llm_rescue_candidate,layer1_issue_codes_json,layer1_semantic_issue_count,layer1_semantic_issue_codes,layer1_execution_issue_count,layer1_execution_issue_codes,entity_text_exact_in_evidence,entity_text_ci_in_evidence,entity_text_normalized_in_evidence,entity_text_exact_in_item,entity_text_ci_in_item,value_text,value_text_found_in_evidence,value_text_found_in_item,unit_text_found_in_evidence,operator_value_structurally_supported,quantitative_cue_present,quantitative_cue_unhandled,exists_with_quantitative_cue,value_missing_with_quantitative_cue,temporal_marker_in_evidence,temporal_context_present,temporal_marker_missing_context,history_marker_in_evidence,history_context_present,history_marker_missing_context,condition_or_exception_marker_in_evidence,condition_or_exception_context_present,condition_or_exception_marker_missing_context,branch_a_match_found,branch_a_entity_type_agrees,branch_a_operator_agrees,branch_a_value_agrees,branch_a_unit_agrees,branch_a_entity_text_token_overlap,node_type,status,source_text,layer1_policy_action_hint,layer1_policy_bucket,layer1_policy_severity,layer1_policy_reasons,layer1_policy_score,layer1_policy_hard_issue_count,layer1_policy_soft_warning_count,layer1_policy_execution_issue_count,branch_a_entity_type,branch_a_entity_text,branch_a_operator,branch_a_value,branch_a_unit,branch_a_agreement_n,generic_entity_text,temporal_context_json,history_context_json,condition_context,exception_context,missing_pass2_clause_context,critical_modifier_support,allowance_polarity_support,layer1_policy_adjusted_semantic_issue_count,layer1_policy_adjusted_execution_issue_count
NCT03416413,NCT03416413_inc__item1_C1,B_llm_pass2,rules_v3_ast.inclusion_criteria.children[0],,demographic,Age,>,scalar,18,year,computable,Adults over 18 years of age,Adults over 18 years of age,0.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.95,0.05,reference_high_support_not_auto_accept,,,1.0,1.0,1.0,0.0,reference_high_support_not_auto_accept,,,keep_without_layer2_action,0,0,high_semantic_and_execution_support_reference,0,0,0,[],0,,0,,0,1,1,0,1,18,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0.166667,criterion,,Adults over 18 years of age,continue_to_layer2,no_layer1_issue,none,,0.0,0,0,0,demographic,adults over 18 years of age,exists,,,1,0,,,,,0,1.0,1.0,0,0
NCT03416413,NCT03416413_inc__item2_C1,B_llm_pass2,rules_v3_ast.inclusion_criteria.children[1].children[0],,condition,symptomatic GSV vein reflux,>,scalar,0.5,second,partial,Symptomatic GSV or SSV vein reflux > 0.5 seconds on colour Duplex,Symptomatic GSV or SSV vein reflux > 0.5 seconds on colour Duplex,0.8,1.0,1.0,1.0,1.0,1.0,0.9,1.0,0.8,0.8,0.2,reference_intermediate_support,entity_supported_by_source_token_overlap;layer1_policy:soft_semantic_warning,entity_source_support;layer1_semantic_support,0.6,0.9,0.6,0.4,reference_intermediate_support,computability_partial,computability_support,optional_llm_verifier_or_review,0,0,layer1_policy_soft_warning,1,1,0,"[""layer1c:comparison_with_non_quantitative_entity""]",1,layer1_policy_soft_warning,0,,0,0,0,0,0,0.5,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0.5,criterion,,Symptomatic GSV or SSV vein reflux > 0.5 seconds on colour Duplex,continue_to_layer2_grounding_screen,soft_semantic_warning,low_to_medium,soft_semantic:comparison_with_non_quantitative_entity,0.4,0,1,0,condition,GSV or SSV vein reflux,>,,seconds,3,0,,current,,,0,1.0,1.0,1,0
NCT03416413,NCT03416413_inc__item2_C2,B_llm_pass2,rules_v3_ast.inclusion_criteria.children[1].children[1],,condition,symptomatic SSV vein reflux,>,scalar,0.5,second,partial,Symptomatic GSV or SSV vein reflux > 0.5 seconds on colour Duplex,Symptomatic GSV or SSV vein reflux > 0.5 seconds on colour Duplex,0.8,1.0,1.0,1.0,1.0,1.0,0.9,1.0,0.8,0.8,0.2,reference_intermediate_support,entity_supported_by_source_token_overlap;layer1_policy:soft_semantic_warning,entity_source_support;layer1_semantic_support,0.6,0.9,0.6,0.4,reference_intermediate_support,computability_partial,computability_support,optional_llm_verifier_or_review,0,0,layer1_policy_soft_warning,1,1,0,"[""layer1c:comparison_with_non_quantitative_entity""]",1,layer1_policy_soft_warning,0,,0,0,0,0,0,0.5,1,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,0,0.5,criterion,,Symptomatic GSV or SSV vein reflux > 0.5 seconds on colour Duplex,continue_to_layer2_grounding_screen,soft_semantic_warning,low_to_medium,soft_semantic:comparison_with_non_quantitative_entity,0.4,0,1,0,condition,GSV or SSV vein reflux,>,,seconds,3,0,,current,,,0,1.0,1.0,1,0
NCT03416413,NCT03416413_inc__item3_C1,B_llm_pass2,rules_v3_ast.inclusion_criteria.children[2],,condition,varicose vein tributary requiring treatment,exists,null,,,partial,Varicose vein tributary requiring treatment,Varicose vein tributary requiring treatment,0.95,1.0,1.0,1.0,1.0,1.0,0.9,1.0,1.0,0.9,0.1,reference_high_support_not_auto_accept,,,0.6,1.0,0.6,0.4,reference_intermediate_support,computability_partial,computability_support,computability_review,0,1,execution_support_reference_intermediate_support,0,0,0,[],0,,0,,0,1,1,0,1,,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,1,1,1.0,criterion,,Varicose vein tributary requiring treatment,continue_to_layer2,no_layer1_issue,none,,0.0,0,0,0,condition,varicose vein tributary requiring treatment,exists,,,5,0,,current,,,0,1.0,1.0,0,0
NCT03416413,NCT03416413_exc__item1_C1,B_llm_pass2,rules_v3_ast.exclusion_criteria.children[0],,condition,deep vein thrombosis (DVT),exists,null,,,computable,Current DVT,Current DVT,0.55,1.0,1.0,1.0,1.0,1.0,0.95,1.0,1.0,0.45,0.55,reference_review_priority,entity_weakly_supported_by_source_token_overlap;critical_modifier_missing:current,critical_modifier_support,1.0,1.0,1.0,0.0,reference_high_support_not_auto_accept,,,optional_llm_verifier_or_review,0,0,semantic_grounding_reference_review_priority,0,0,0,[],0,,0,,0,0,0,0,0,,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,1,0.25,criterion,,Current DVT,continue_to_layer2,no_layer1_issue,none,,0.0,0,0,0,procedure,DVT,exists,,,3,0,,current,,,0,0.45,1.0,0,0
NCT03416413,NCT03416413_exc__item2_C1,B_llm_pass2,rules_v3_ast.exclusion_criteria.children[1],,condition,recurrent varicose veins,exists,null,,,computable,Recurrent varicose veins,Recurrent varicose veins,0.95,1.0,1.0,1.0,1.0,1.0,0.95,1.0,1.0,0.95,0.05,reference_high_support_not_auto_accept,,,1.0,1.0,1.0,0.0,reference_high_support_not_auto_accept,,,keep_without_layer2_action,0,0,high_semantic_and_execution_support_reference,0,0,0,[],0,,0,,0,1,1,0,1,,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,1,1,0.666667,criterion,,Recurrent varicose veins,continue_to_layer2,no_layer1_issue,none,,0.0,0,0,0,condition,varicose veins,exists,,,5,0,,current,,,0,1.0,1.0,0,0
NCT03416413,NCT03416413_exc__item3_C1,B_llm_pass2,rules_v3_ast.exclusion_criteria.children[2],,lab,ABPI,<,scalar,0.8,,computable,Arterial disease (ABPI<0.8),Arterial disease (ABPI<0.8),1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,reference_high_support_not_auto_accept,,,1.0,1.0,1.0,0.0,reference_high_support_not_auto_accept,,,keep_without_layer2_action,0,0,high_semantic_and_execution_support_reference,0,0,0,[],0,,0,,1,1,1,1,1,0.8,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1.0,criterion,,Arterial disease (ABPI<0.8),continue_to_layer2,no_layer1_issue,none,,0.0,0,0,0,lab,ABPI,<,,,4,0,,,,,0,1.0,1.0,0,0
NCT03416413,NCT03416413_exc__item4_C1,B_llm_pass2,rules_v3_ast.exclusion_criteria.children[3],,observation,Vein diameter,<,scalar,3,mm,computable,Vein diameter < 3mm,Vein diameter < 3mm,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,reference_high_support_not_auto_accept,,,1.0,1.0,1.0,0.0,reference_high_support_not_auto_accept,,,keep_without_layer2_action,0,0,high_semantic_and_execution_support_reference,0,0,0,[],0,,0,,1,1,1,1,1,3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1.0,criterion,,Vein diameter < 3mm,continue_to_layer2,no_layer1_issue,none,,0.0,0,0,0,lab,Vein diameter,<,,mm,3,0,,,,,0,1.0,1.0,0,0
NCT03416413,NCT03416413_exc__item5_C1,B_llm_pass2,rules_v3_ast.exclusion_criteria.children[4],,other,preference for one of the treatment options,exists,null,,,non_computable,Preference for one of the treatment options,Preference for one of the treatment options,0.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.95,0.05,reference_high_support_not_auto_accept,,,0.35,1.0,0.35,0.65,reference_review_priority,computability_non_computable,computability_support,computability_review,0,1,execution_support_reference_review_priority,0,0,0,[],0,,0,,0,1,1,0,1,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1.0,criterion,,Preference for one of the treatment options,continue_to_layer2,no_layer1_issue,none,,0.0,0,0,0,other,preference for one of the treatment options,exists,,,5,0,,,,,0,1.0,1.0,0,0
NCT03416413,NCT03416413_exc__item6_C1,B_llm_pass2,rules_v3_ast.exclusion_criteria.children[5],,other,unwilling to participate,exists,null,,,non_computable,Patient who are unwilling to participate,Patient who are unwilling to participate,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,reference_high_support_not_auto_accept,,,0.35,1.0,0.35,0.65,reference_review_priority,computability_non_computable,computability_support,computability_review,0,1,execution_support_reference_review_priority,0,0,0,[],0,,0,,1,1,1,1,1,,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1.0,criterion,,Patient who are unwilling to participate,continue_to_layer2,no_layer1_issue,none,,0.0,0,0,0,other,unwilling to participate,exists,,,5,0,,,,,0,1.0,1.0,0,0
