branch,document_id,path,criterion_id,item_uid,clause_id,entity_type,entity_text,operator,value_type,value,unit,temporal_context,history_context,computability,non_computable_reason,evidence_text,deterministic_issues,layer1a_action_category,layer1a_action_hint,layer1c_source_text_warnings,layer1c_action
A_post_rescue,NCT03416413,inclusion_criteria.children[0],NCT03416413_inc__item1_C1,NCT03416413_inc__item1,C1,demographic,adults over 18 years of age,exists,null,,,,,computable,,Adults over 18 years of age,,no_action,,,no_action
A_post_rescue,NCT03416413,inclusion_criteria.children[1].children[0],NCT03416413_inc__item2_C1,NCT03416413_inc__item2,C1,condition,GSV or SSV vein reflux,>,scalar,0.5,seconds,,,computable,,Symptomatic GSV or SSV vein reflux > 0.5 seconds on colour Duplex,,no_action,,comparison_with_non_quantitative_entity,flag_only
A_post_rescue,NCT03416413,inclusion_criteria.children[1].children[1],NCT03416413_inc__item2_C2,NCT03416413_inc__item2,C2,condition,GSV or SSV vein reflux,>,scalar,0.5,seconds,,,computable,,Symptomatic GSV or SSV vein reflux > 0.5 seconds on colour Duplex,,no_action,,comparison_with_non_quantitative_entity,flag_only
A_post_rescue,NCT03416413,inclusion_criteria.children[2],NCT03416413_inc__item3_C1,NCT03416413_inc__item3,C1,condition,varicose vein tributary requiring treatment,exists,null,,,,current,partial,The phrase 'requiring treatment' implies a clinical judgment/indication that may not be directly represented as structured patient-level data.,Varicose vein tributary requiring treatment,,no_action,,,no_action
A_post_rescue,NCT03416413,exclusion_criteria.children[0],NCT03416413_exc__item1_C1,NCT03416413_exc__item1,C1,procedure,DVT,exists,null,,,,current,computable,,Current DVT,,no_action,,,no_action
A_post_rescue,NCT03416413,exclusion_criteria.children[1],NCT03416413_exc__item2_C1,NCT03416413_exc__item2,C1,condition,varicose veins,exists,null,,,,current,computable,,Recurrent varicose veins,,no_action,,,no_action
A_post_rescue,NCT03416413,exclusion_criteria.children[2],NCT03416413_exc__item3_C1,NCT03416413_exc__item3,C1,lab,ABPI,<,scalar,0.8,,,,computable,,Arterial disease (ABPI<0.8),,no_action,,,no_action
A_post_rescue,NCT03416413,exclusion_criteria.children[3],NCT03416413_exc__item4_C1,NCT03416413_exc__item4,C1,lab,Vein diameter,<,scalar,3,mm,,,computable,,Vein diameter < 3mm,,no_action,,,no_action
A_post_rescue,NCT03416413,exclusion_criteria.children[4],NCT03416413_exc__item5_C1,NCT03416413_exc__item5,C1,other,preference for one of the treatment options,exists,null,,,,,non_computable,Subjective or operational criterion.,Preference for one of the treatment options,,no_action,,,no_action
A_post_rescue,NCT03416413,exclusion_criteria.children[5],NCT03416413_exc__item6_C1,NCT03416413_exc__item6,C1,other,unwilling to participate,exists,null,,,,,non_computable,Participation willingness is subjective/consent-related and not reliably represented as patient-level clinical data.,Patient who are unwilling to participate,,no_action,,,no_action
A_post_rescue,NCT03416413,exclusion_criteria.children[6].children[0],NCT03416413_exc__item7_C1,NCT03416413_exc__item7,C1,other,inability to complete questionnaires,exists,null,,,,,non_computable,Operational/behavioral ability to complete questionnaires is not reliably represented as structured patient-level clinical data.,Inability or unwillingness to complete questionnaires,,no_action,,,no_action
A_post_rescue,NCT03416413,exclusion_criteria.children[6].children[1],NCT03416413_exc__item7_C2,NCT03416413_exc__item7,C2,other,unwillingness to complete questionnaires,exists,null,,,,,non_computable,Subjective or operational criterion.,Inability or unwillingness to complete questionnaires,,no_action,,,no_action
A_post_rescue,NCT03416413,exclusion_criteria.children[7],NCT03416413_exc__item8_C1,NCT03416413_exc__item8,C1,other,inability to attend follow-up appointments,exists,null,,,,,non_computable,Subjective or operational criterion.,Inability to attend follow-up appointments,,no_action,,,no_action
