branch,document_id,criterion_id,item_uid,clause_id,final_decision,final_decision_severity,final_decision_reasons,final_decision_rule,entity_type,entity_text,operator,value_type,value,unit,computability,non_computable_reason,evidence_text,branch_b_semantic_grounding_risk_label,branch_b_execution_risk_label,branch_b_final_routing_decision,branch_b_semantic_grounding_support,branch_b_execution_support,branch_b_routing_reasons,branch_b_layer1_action_hint,branch_b_layer1_bucket,branch_b_layer1_severity,rescue_candidate_id,rescue_final_decision,rescue_apply_action,rescue_apply_status,rescue_changed_fields,rescue_skip_reason
B,NCT03416413,NCT03416413_inc__item1_C1,NCT03416413_inc__item1,C1,accept,0,branch_b_accept_routing_low_semantic_risk,B_accept,demographic,Age,>,scalar,18,year,computable,,Adults over 18 years of age,reference_high_support_not_auto_accept,reference_high_support_not_auto_accept,keep_without_layer2_action,0.95,1.0,high_semantic_and_execution_support_reference,continue_to_layer2,no_layer1_issue,none,,,,,,
B,NCT03416413,NCT03416413_inc__item2_C1,NCT03416413_inc__item2,C1,partial,1,branch_b_partial_computability,B_partial_computability,condition,symptomatic GSV vein reflux,>,scalar,0.5,second,partial,,Symptomatic GSV or SSV vein reflux > 0.5 seconds on colour Duplex,reference_intermediate_support,reference_intermediate_support,optional_llm_verifier_or_review,0.8,0.6,layer1_policy_soft_warning,continue_to_layer2_grounding_screen,soft_semantic_warning,low_to_medium,,,,,,
B,NCT03416413,NCT03416413_inc__item2_C2,NCT03416413_inc__item2,C2,partial,1,branch_b_partial_computability,B_partial_computability,condition,symptomatic SSV vein reflux,>,scalar,0.5,second,partial,,Symptomatic GSV or SSV vein reflux > 0.5 seconds on colour Duplex,reference_intermediate_support,reference_intermediate_support,optional_llm_verifier_or_review,0.8,0.6,layer1_policy_soft_warning,continue_to_layer2_grounding_screen,soft_semantic_warning,low_to_medium,,,,,,
B,NCT03416413,NCT03416413_inc__item3_C1,NCT03416413_inc__item3,C1,partial,1,branch_b_computability_review,B_computability_review,condition,varicose vein tributary requiring treatment,exists,null,,,partial,,Varicose vein tributary requiring treatment,reference_high_support_not_auto_accept,reference_intermediate_support,computability_review,0.9,0.6,execution_support_reference_intermediate_support,continue_to_layer2,no_layer1_issue,none,,,,,,
B,NCT03416413,NCT03416413_exc__item1_C1,NCT03416413_exc__item1,C1,human_review,3,branch_b_semantic_grounding_high_risk,B_semantic_high_risk,condition,deep vein thrombosis (DVT),exists,null,,,computable,,Current DVT,reference_review_priority,reference_high_support_not_auto_accept,optional_llm_verifier_or_review,0.45,1.0,semantic_grounding_reference_review_priority,continue_to_layer2,no_layer1_issue,none,,,,,,
B,NCT03416413,NCT03416413_exc__item2_C1,NCT03416413_exc__item2,C1,accept,0,branch_b_accept_routing_low_semantic_risk,B_accept,condition,recurrent varicose veins,exists,null,,,computable,,Recurrent varicose veins,reference_high_support_not_auto_accept,reference_high_support_not_auto_accept,keep_without_layer2_action,0.95,1.0,high_semantic_and_execution_support_reference,continue_to_layer2,no_layer1_issue,none,,,,,,
B,NCT03416413,NCT03416413_exc__item3_C1,NCT03416413_exc__item3,C1,accept,0,branch_b_accept_routing_low_semantic_risk,B_accept,lab,ABPI,<,scalar,0.8,,computable,,Arterial disease (ABPI<0.8),reference_high_support_not_auto_accept,reference_high_support_not_auto_accept,keep_without_layer2_action,1.0,1.0,high_semantic_and_execution_support_reference,continue_to_layer2,no_layer1_issue,none,,,,,,
B,NCT03416413,NCT03416413_exc__item4_C1,NCT03416413_exc__item4,C1,accept,0,branch_b_accept_routing_low_semantic_risk,B_accept,observation,Vein diameter,<,scalar,3,mm,computable,,Vein diameter < 3mm,reference_high_support_not_auto_accept,reference_high_support_not_auto_accept,keep_without_layer2_action,1.0,1.0,high_semantic_and_execution_support_reference,continue_to_layer2,no_layer1_issue,none,,,,,,
B,NCT03416413,NCT03416413_exc__item5_C1,NCT03416413_exc__item5,C1,non_computable,2,branch_b_non_computable,B_non_computable,other,preference for one of the treatment options,exists,null,,,non_computable,,Preference for one of the treatment options,reference_high_support_not_auto_accept,reference_review_priority,computability_review,0.95,0.35,execution_support_reference_review_priority,continue_to_layer2,no_layer1_issue,none,,,,,,
B,NCT03416413,NCT03416413_exc__item6_C1,NCT03416413_exc__item6,C1,non_computable,2,branch_b_non_computable,B_non_computable,other,unwilling to participate,exists,null,,,non_computable,,Patient who are unwilling to participate,reference_high_support_not_auto_accept,reference_review_priority,computability_review,1.0,0.35,execution_support_reference_review_priority,continue_to_layer2,no_layer1_issue,none,,,,,,
B,NCT03416413,NCT03416413_exc__item7_C1,NCT03416413_exc__item7,C1,non_computable,2,branch_b_non_computable,B_non_computable,other,inability to complete questionnaires,exists,null,,,non_computable,,Inability or unwillingness to complete questionnaires,reference_intermediate_support,reference_review_priority,optional_llm_verifier_or_review,0.8,0.35,semantic_grounding_reference_intermediate_support,continue_to_layer2,no_layer1_issue,none,,,,,,
B,NCT03416413,NCT03416413_exc__item7_C2,NCT03416413_exc__item7,C2,non_computable,2,branch_b_non_computable,B_non_computable,other,unwillingness to complete questionnaires,exists,null,,,non_computable,,Inability or unwillingness to complete questionnaires,reference_high_support_not_auto_accept,reference_review_priority,computability_review,1.0,0.35,execution_support_reference_review_priority,continue_to_layer2,no_layer1_issue,none,,,,,,
B,NCT03416413,NCT03416413_exc__item8_C1,NCT03416413_exc__item8,C1,non_computable,2,branch_b_non_computable,B_non_computable,other,Inability to attend follow-up appointments,exists,null,,,non_computable,,Inability to attend follow-up appointments,reference_high_support_not_auto_accept,reference_review_priority,computability_review,1.0,0.35,execution_support_reference_review_priority,continue_to_layer2,no_layer1_issue,none,B__NCT03416413_exc__item8_C1__B_main_llm_rescue__value_or_operator_recovery,select_candidate,apply_selected_candidate_leaf,applied,"[""entity_text"", ""operator"", ""value"", ""value_type""]",
B,NCT03416413,NCT03416413_exc__item9_C1,NCT03416413_exc__item9,C1,non_computable,2,branch_b_non_computable,B_non_computable,other,currently included in a study of varicose vein treatment,exists,null,,,non_computable,,Patient currently included in a study of varicose vein treatment,reference_high_support_not_auto_accept,reference_review_priority,computability_review,0.95,0.35,execution_support_reference_review_priority,continue_to_layer2,no_layer1_issue,none,,,,,,
B,NCT02121145,NCT02121145_inc__item1_C1,NCT02121145_inc__item1,C1,human_review,3,candidate_selection_rescue_returned_human_review,B_rescue_unresolved,demographic,sex,=,scalar,male,,computable,,Male or female subjects,reference_review_priority,reference_high_support_not_auto_accept,llm_verifier,0.35,1.0,hard_semantic_grounding_uncertainty,continue_to_layer2,no_layer1_issue,none,B__NCT02121145_inc__item1_C1__B_main_llm_rescue__entity_regrounding,human_review,no_update,skipped,[],not_applicable_final_decision:human_review
B,NCT02121145,NCT02121145_inc__item1_C2,NCT02121145_inc__item1,C2,human_review,3,candidate_selection_rescue_returned_human_review,B_rescue_unresolved,demographic,sex,=,scalar,female,,computable,,female subjects,reference_review_priority,reference_high_support_not_auto_accept,llm_verifier,0.35,1.0,hard_semantic_grounding_uncertainty,continue_to_layer2,no_layer1_issue,none,B__NCT02121145_inc__item1_C2__B_main_llm_rescue__entity_regrounding,human_review,no_update,skipped,[],not_applicable_final_decision:human_review
B,NCT02121145,NCT02121145_inc__item1_C3,NCT02121145_inc__item1,C3,accept,0,branch_b_accept_routing_low_semantic_risk,B_accept,demographic,age,between,range,"{""min"": 18, ""max"": 65}",year,computable,,aged =18 to =65 years,reference_high_support_not_auto_accept,reference_high_support_not_auto_accept,keep_without_layer2_action,1.0,1.0,high_semantic_and_execution_support_reference,continue_to_layer2,no_layer1_issue,none,,,,,,
B,NCT02121145,NCT02121145_inc__item2_C1,NCT02121145_inc__item2,C1,non_computable,2,branch_b_non_computable,B_non_computable,observation,general good health,exists,null,,,non_computable,,General good health as established by medical history and physical examination,reference_high_support_not_auto_accept,reference_review_priority,computability_review,0.95,0.35,execution_support_reference_review_priority,continue_to_layer2,no_layer1_issue,none,,,,,,
B,NCT02121145,NCT02121145_inc__item3_C1,NCT02121145_inc__item3,C1,non_computable,2,branch_b_non_computable,B_non_computable,other,written informed consent,exists,null,,,non_computable,,Written informed consent,reference_high_support_not_auto_accept,reference_review_priority,computability_review,0.95,0.35,execution_support_reference_review_priority,continue_to_layer2,no_layer1_issue,none,,,,,,
B,NCT02121145,NCT02121145_inc__item4_C1,NCT02121145_inc__item4,C1,non_computable,2,branch_b_non_computable,B_non_computable,therapy,efficacious hormonal method of birth control,exists,null,,,non_computable,,Females of childbearing potential must agree to use an efficacious hormonal or barrier method of birth control during the study.,reference_intermediate_support,reference_review_priority,optional_llm_verifier_or_review,0.8,0.35,semantic_grounding_reference_intermediate_support,continue_to_layer2,no_layer1_issue,none,,,,,,
B,NCT02121145,NCT02121145_inc__item4_C2,NCT02121145_inc__item4,C2,non_computable,2,branch_b_non_computable,B_non_computable,therapy,efficacious barrier method of birth control,exists,null,,,non_computable,,Females of childbearing potential must agree to use an efficacious hormonal or barrier method of birth control during the study.,reference_intermediate_support,reference_review_priority,optional_llm_verifier_or_review,0.8,0.35,semantic_grounding_reference_intermediate_support,continue_to_layer2,no_layer1_issue,none,,,,,,
B,NCT02121145,NCT02121145_inc__item4_C3,NCT02121145_inc__item4,C3,non_computable,2,branch_b_non_computable,B_non_computable,observation,abstinence,exists,null,,,non_computable,,Abstinence is acceptable.,reference_high_support_not_auto_accept,reference_review_priority,computability_review,0.95,0.35,execution_support_reference_review_priority,continue_to_layer2,no_layer1_issue,none,,,,,,
B,NCT02121145,NCT02121145_inc__item5_C1,NCT02121145_inc__item5,C1,non_computable,2,branch_b_non_computable,B_non_computable,other,available for all visits scheduled in this study,exists,null,,,non_computable,,Available for all visits scheduled in this study.,reference_high_support_not_auto_accept,reference_review_priority,computability_review,0.95,0.35,execution_support_reference_review_priority,continue_to_layer2,no_layer1_issue,none,,,,,,
B,NCT02121145,NCT02121145_exc__item1_C1,NCT02121145_exc__item1,C1,partial,1,branch_b_computability_review,B_computability_review,procedure,vaccination against typhoid fever,exists,null,,,partial,,Vaccination against typhoid fever within 5 years before dosing.,reference_high_support_not_auto_accept,reference_intermediate_support,computability_review,0.9,0.6,execution_support_reference_intermediate_support,continue_to_layer2,no_layer1_issue,none,,,,,,
B,NCT02121145,NCT02121145_exc__item2_C1,NCT02121145_exc__item2,C1,accept,0,branch_b_accept_routing_low_semantic_risk,B_accept,condition,clinical typhoid fever,exists,null,,,computable,,History of clinical typhoid fever,reference_high_support_not_auto_accept,reference_high_support_not_auto_accept,keep_without_layer2_action,0.95,1.0,high_semantic_and_execution_support_reference,continue_to_layer2,no_layer1_issue,none,,,,,,
B,NCT02121145,NCT02121145_exc__item2_C2,NCT02121145_exc__item2,C2,partial,1,branch_b_optional_verifier_or_review,B_optional_review_partial,condition,clinical paratyphoid A fever,exists,null,,,computable,,clinical paratyphoid A or B fever,reference_intermediate_support,reference_high_support_not_auto_accept,optional_llm_verifier_or_review,0.8,1.0,semantic_grounding_reference_intermediate_support,continue_to_layer2,no_layer1_issue,none,,,,,,
B,NCT02121145,NCT02121145_exc__item2_C3,NCT02121145_exc__item2,C3,partial,1,branch_b_optional_verifier_or_review,B_optional_review_partial,condition,clinical paratyphoid B fever,exists,null,,,computable,,clinical paratyphoid A or B fever,reference_intermediate_support,reference_high_support_not_auto_accept,optional_llm_verifier_or_review,0.8,1.0,semantic_grounding_reference_intermediate_support,continue_to_layer2,no_layer1_issue,none,,,,,,
