review_id,document_id,chia_id,item_uid,item_index,criterion_type,stratum,item_text,logic_chain,clause_id,clause_text,evidence_text,is_negated,connector_to_next,quantifier,A_post_leaf,B_post_leaf,A_final_decision,A_final_decision_rule,A_final_decision_reasons,B_final_decision,B_final_decision_rule,B_final_decision_reasons,cross_chosen_branch,cross_chosen_decision,cross_branch_reason,A_rescue_apply_status,A_rescue_final_decision,A_rescue_changed_fields,A_rescue_skip_reason,B_rescue_apply_status,B_rescue_final_decision,B_rescue_changed_fields,B_rescue_skip_reason,manual_A_post_leaf_label,manual_B_post_leaf_label,manual_A_post_issue_type,manual_B_post_issue_type,manual_post_notes,manual_A_pre_leaf_label_reference_only,manual_A_pre_issue_type_reference_only,A_leaf_changed_post_vs_pre,manual_B_pre_leaf_label_reference_only,manual_B_pre_issue_type_reference_only,B_leaf_changed_post_vs_pre,A_pre_to_post_change,B_pre_to_post_change,B_vs_A_post,manual_inferred_best_branch_A_B_post,manual_chosen_branch_post_label
I00001,NCT00319748,NCT00319748_inc,NCT00319748_inc__item1,1,inclusion,simple,Adequate performance status:,C1: adequate performance status,C1,adequate performance status,Adequate performance status:,0,,,entity_type=lab | entity=performance status | operator=exists | value_type=null | value= | unit=None | temporal= | history=None | computability=computable | reason=,"entity_type=observation | entity=performance status | operator=exists | value_type=null | value= | unit=None | temporal= | history=current | computability=partial | reason=Performance status scale and threshold for 'adequate' (e.g., ECOG/Karnofsky) not specified.",human_review,A_layer2_high_risk,branch_a_layer2_high_risk_after_rescue,partial,B_computability_review,branch_b_computability_review,B,partial,selected_B_because_partial_has_best_available_status,,,,,,,,,partial,partial,missing_threshold; bad_entity_type,missing_threshold,,partial,missing_threshold; bad_entity_type,0,partial,missing_threshold,0,same,same,B_same_as_A,tie,partial
I00002,NCT00319748,NCT00319748_inc,NCT00319748_inc__item2,2,inclusion,simple,Breast - Karnofsky score > 50;,C1: Karnofsky score > 50,C1,Karnofsky score > 50,Karnofsky score > 50,0,,,entity_type=lab | entity=Breast - Karnofsky score | operator=> | value_type=scalar | value=50 | unit=None | temporal= | history=None | computability=computable | reason=,entity_type=observation | entity=Karnofsky score | operator=> | value_type=scalar | value=50 | unit=None | temporal= | history=current | computability=computable | reason=,partial,A_layer2_medium_risk,branch_a_medium_risk_after_rescue,accept,B_accept,branch_b_accept_routing_low_semantic_risk,B,accept,selected_B_because_accept_has_best_available_status,,,,,,,,,incorrect,correct,wrong_entity,,,incorrect,wrong_entity,0,correct,,0,same,same,B_better_than_A,B,correct
I00003,NCT00319748,NCT00319748_inc,NCT00319748_inc__item3,3,inclusion,multi_clause,"Ovarian, endometrial or cervical - Gynecologic Oncology Group (GOG) performance score ≤2",C1: ovarian cancer OR C2: endometrial cancer OR C3: cervical cancer AND C4: Gynecologic Oncology Group (GOG) performance score ≤2,C1,ovarian cancer,"Ovarian, endometrial or cervical",0,OR,,"entity_type=lab | entity=Ovarian, endometrial or cervical - Gynecologic Oncology Group (GOG) performance score | operator=exists | value_type=null | value= | unit=None | temporal= | history=None | computability=computable | reason=",entity_type=condition | entity=ovarian cancer | operator=exists | value_type=null | value= | unit=None | temporal= | history=current | computability=computable | reason=,partial,A_layer2_medium_risk,branch_a_medium_risk_after_rescue,partial,B_optional_review_partial,branch_b_optional_verifier_or_review,B,partial,selected_B_because_partial_has_best_available_status,,,,,,,,,incorrect,correct,wrong_entity,,,incorrect,wrong_entity,0,correct,,0,same,same,B_better_than_A,B,correct
I00003,NCT00319748,NCT00319748_inc,NCT00319748_inc__item3,3,inclusion,multi_clause,"Ovarian, endometrial or cervical - Gynecologic Oncology Group (GOG) performance score ≤2",C1: ovarian cancer OR C2: endometrial cancer OR C3: cervical cancer AND C4: Gynecologic Oncology Group (GOG) performance score ≤2,C2,endometrial cancer,"Ovarian, endometrial or cervical",0,OR,,"entity_type=lab | entity=Ovarian, endometrial or cervical - Gynecologic Oncology Group (GOG) performance score | operator=exists | value_type=null | value= | unit=None | temporal= | history=None | computability=computable | reason=",entity_type=condition | entity=endometrial cancer | operator=exists | value_type=null | value= | unit=None | temporal= | history=current | computability=computable | reason=,partial,A_layer2_medium_risk,branch_a_medium_risk_after_rescue,partial,B_optional_review_partial,branch_b_optional_verifier_or_review,B,partial,selected_B_because_partial_has_best_available_status,,,,,,,,,incorrect,correct,wrong_entity,,,incorrect,wrong_entity,0,correct,,0,same,same,B_better_than_A,B,correct
I00003,NCT00319748,NCT00319748_inc,NCT00319748_inc__item3,3,inclusion,multi_clause,"Ovarian, endometrial or cervical - Gynecologic Oncology Group (GOG) performance score ≤2",C1: ovarian cancer OR C2: endometrial cancer OR C3: cervical cancer AND C4: Gynecologic Oncology Group (GOG) performance score ≤2,C3,cervical cancer,"Ovarian, endometrial or cervical",0,AND,,"entity_type=lab | entity=Ovarian, endometrial or cervical - Gynecologic Oncology Group (GOG) performance score | operator=exists | value_type=null | value= | unit=None | temporal= | history=None | computability=computable | reason=",entity_type=condition | entity=cervical cancer | operator=exists | value_type=null | value= | unit=None | temporal= | history=current | computability=computable | reason=,partial,A_layer2_medium_risk,branch_a_medium_risk_after_rescue,partial,B_optional_review_partial,branch_b_optional_verifier_or_review,B,partial,selected_B_because_partial_has_best_available_status,,,,,,,,,incorrect,correct,wrong_entity,,,incorrect,wrong_entity,0,correct,,0,same,same,B_better_than_A,B,correct
I00003,NCT00319748,NCT00319748_inc,NCT00319748_inc__item3,3,inclusion,multi_clause,"Ovarian, endometrial or cervical - Gynecologic Oncology Group (GOG) performance score ≤2",C1: ovarian cancer OR C2: endometrial cancer OR C3: cervical cancer AND C4: Gynecologic Oncology Group (GOG) performance score ≤2,C4,Gynecologic Oncology Group (GOG) performance score ≤2,Gynecologic Oncology Group (GOG) performance score ≤2,0,,,entity_type=observation | entity=Gynecologic Oncology Group (GOG) performance score | operator=<= | value_type=scalar | value=2 | unit=None | temporal= | history=current | computability=computable | reason=,entity_type=observation | entity=Gynecologic Oncology Group (GOG) performance score | operator=<= | value_type=scalar | value=2 | unit=None | temporal= | history=current | computability=computable | reason=,accept,A_hybrid_from_B_accept,branch_a_replaced_by_validated_branch_b_leaf;using_branch_b_post_rescue_decision:accept,accept,B_accept,branch_b_accept_routing_low_semantic_risk,B,accept,selected_B_because_accept_has_best_available_status,applied,select_candidate,"[""entity_text"", ""entity_type"", ""operator"", ""value"", ""value_type"", ""history_context""]",,,,,,correct,correct,,,,incorrect,wrong_operator; wrong_entity,1,correct,,0,improved,same,B_same_as_A,tie,correct
I00004,NCT00319748,NCT00319748_inc,NCT00319748_inc__item4,4,inclusion,temporal,"If female and of childbearing potential, are willing to use adequate contraception (hormonal, barrier method, abstinence) prior to study entry and for the duration of study participation.",C1: female AND C2: of childbearing potential AND C3: willing to use adequate contraception prior to study entry AND C4: willing to use adequate contraception for the duration of study participation,C1,female,If female and of childbearing potential,0,AND,,entity_type=condition | entity=childbearing potential | operator=exists | value_type=null | value= | unit=None | temporal= | history=None | computability=partial | reason=exception_context_unresolved,"entity_type=demographic | entity=female | operator== | value_type=scalar | value=""female"" | unit=None | temporal= | history=current | computability=computable | reason=",human_review,A_layer2_high_risk,branch_a_layer2_high_risk_after_rescue,human_review,B_rescue_unresolved,candidate_selection_rescue_returned_human_review,B,human_review,selected_B_because_human_review_has_best_available_status,,,,,skipped,human_review,[],not_applicable_final_decision:human_review,correct,correct,,,,incorrect,wrong_entity,1,correct,,0,improved,same,B_same_as_A,tie,correct
I00004,NCT00319748,NCT00319748_inc,NCT00319748_inc__item4,4,inclusion,temporal,"If female and of childbearing potential, are willing to use adequate contraception (hormonal, barrier method, abstinence) prior to study entry and for the duration of study participation.",C1: female AND C2: of childbearing potential AND C3: willing to use adequate contraception prior to study entry AND C4: willing to use adequate contraception for the duration of study participation,C2,of childbearing potential,If female and of childbearing potential,0,AND,,entity_type=condition | entity=childbearing potential | operator=exists | value_type=null | value= | unit=None | temporal= | history=None | computability=partial | reason=exception_context_unresolved,"entity_type=demographic | entity=of childbearing potential | operator=exists | value_type=null | value= | unit=None | temporal= | history=current | computability=partial | reason=Childbearing potential is not a single standardized patient-level field and may require clinical judgment (e.g., menopausal status, sterilization).",human_review,A_layer2_high_risk,branch_a_layer2_high_risk_after_rescue,human_review,B_rescue_unresolved,candidate_selection_rescue_returned_human_review,B,human_review,selected_B_because_human_review_has_best_available_status,,,,,skipped,human_review,[],not_applicable_final_decision:human_review,correct,correct,,Both capture 'of childbearing potential' correctly,,correct,,1,correct,Both capture 'of childbearing potential' correctly,0,same,same,B_same_as_A,tie,correct
I00004,NCT00319748,NCT00319748_inc,NCT00319748_inc__item4,4,inclusion,temporal,"If female and of childbearing potential, are willing to use adequate contraception (hormonal, barrier method, abstinence) prior to study entry and for the duration of study participation.",C1: female AND C2: of childbearing potential AND C3: willing to use adequate contraception prior to study entry AND C4: willing to use adequate contraception for the duration of study participation,C3,willing to use adequate contraception prior to study entry,"are willing to use adequate contraception (hormonal, barrier method, abstinence) prior to study entry",0,AND,,"entity_type=observation | entity=are willing to use adequate contraception (hormonal, barrier method, abstinence) | operator=exists | value_type=null | value= | unit=None | temporal={""relation"": ""before"", ""value"": null, ""unit"": null, ""anchor_event"": ""other""} | history=None | computability=non_computable | reason=Willingness to use contraception is a consent/behavioral requirement not reliably captured as structured clinical data.","entity_type=observation | entity=are willing to use adequate contraception (hormonal, barrier method, abstinence) | operator=exists | value_type=null | value= | unit=None | temporal={""relation"": ""before"", ""value"": null, ""unit"": null, ""anchor_event"": ""other""} | history=None | computability=non_computable | reason=Willingness to use contraception is a consent/behavioral requirement not reliably captured as structured clinical data.",human_review,A_hybrid_from_B_human_review,branch_a_replaced_by_validated_branch_b_leaf;using_branch_b_post_rescue_decision:human_review,human_review,B_layer1_hard_issue,branch_b_layer1_mandatory_verifier_remains,B,human_review,selected_B_because_human_review_has_best_available_status,applied,select_candidate,"[""entity_text"", ""entity_type"", ""temporal_context"", ""non_computable_reason""]",,applied,select_candidate,"[""entity_text"", ""temporal_context""]",,correct,correct,,,,correct,,1,correct,Both correctly mark non_computable willingness,1,same,same,B_same_as_A,tie,correct
I00004,NCT00319748,NCT00319748_inc,NCT00319748_inc__item4,4,inclusion,temporal,"If female and of childbearing potential, are willing to use adequate contraception (hormonal, barrier method, abstinence) prior to study entry and for the duration of study participation.",C1: female AND C2: of childbearing potential AND C3: willing to use adequate contraception prior to study entry AND C4: willing to use adequate contraception for the duration of study participation,C4,willing to use adequate contraception for the duration of study participation,and for the duration of study participation,0,,,"entity_type=observation | entity=willing to use adequate contraception for the duration of study participation | operator=exists | value_type=null | value= | unit=None | temporal={""relation"": ""during"", ""value"": null, ""unit"": null, ""anchor_event"": ""other""} | history=None | computability=non_computable | reason=Willingness/commitment to use contraception during study participation is not reliably computable from patient clinical records.","entity_type=observation | entity=willing to use adequate contraception for the duration of study participation | operator=exists | value_type=null | value= | unit=None | temporal={""relation"": ""during"", ""value"": null, ""unit"": null, ""anchor_event"": ""other""} | history=None | computability=non_computable | reason=Willingness/commitment to use contraception during study participation is not reliably computable from patient clinical records.",non_computable,A_hybrid_from_B_non_computable,branch_a_replaced_by_validated_branch_b_leaf;using_branch_b_post_rescue_decision:non_computable,non_computable,B_non_computable,branch_b_non_computable,B,non_computable,selected_B_because_non_computable_has_best_available_status,applied,select_candidate,"[""entity_type"", ""temporal_context"", ""non_computable_reason""]",,,,,,correct,correct,,,,partial,missing_temporal_context,1,correct,,0,improved,same,B_same_as_A,tie,correct
I00005,NCT00319748,NCT00319748_inc,NCT00319748_inc__item5,5,inclusion,temporal,Normal organ function within 14 days of study entry,C1: normal organ function within 14 days of study entry,C1,normal organ function within 14 days of study entry,Normal organ function within 14 days of study entry,0,,,"entity_type=observation | entity=normal organ function | operator=exists | value_type=null | value= | unit=None | temporal={""relation"": ""within"", ""value"": 14, ""unit"": ""day"", ""anchor_event"": ""treatment_start""} | history=current | computability=partial | reason=Organ function is not specified by measurable labs or thresholds.","entity_type=observation | entity=normal organ function | operator=exists | value_type=null | value= | unit=None | temporal={""relation"": ""within"", ""value"": 14, ""unit"": ""day"", ""anchor_event"": ""treatment_start""} | history=current | computability=partial | reason=Organ function is not specified by measurable labs or thresholds.",human_review,A_hybrid_from_B_human_review,branch_a_replaced_by_validated_branch_b_leaf;using_branch_b_post_rescue_decision:human_review,human_review,B_rescue_unresolved,candidate_selection_rescue_returned_human_review,B,human_review,selected_B_because_human_review_has_best_available_status,applied,select_candidate,"[""entity_text"", ""entity_type"", ""temporal_context"", ""history_context"", ""computability"", ""non_computable_reason""]",,skipped,human_review,[],not_applicable_final_decision:human_review,partial,partial,missing_threshold,missing_threshold,,partial,missing_threshold,1,partial,missing_threshold,0,same,same,B_same_as_A,tie,partial
